Time,Address
2006-04-24 10:35,"ST JOSEPH & QUERBES, Montreal, Canada"
2006-04-25 18:12,"27 BEAUBIEN O, Montreal, Canada"
2006-04-26 16:45,"454 ST LAURENT , Montreal, Canada"
2006-04-26 17:20,"878 ST DENIS , Montreal, Canada"
2006-04-26 18:02,"LAURIER & DE GASPE, Montreal, Canada"
2006-04-27 08:35,"QUERBES & BERNARD, Montreal, Canada"
2006-04-27 16:00,"1054 8E AV , Montreal, Canada"
2006-04-27 17:05,"PRIEUR & HOGUE, Montreal, Canada"
2006-04-27 18:16,"TERREBONNE & CORONATION, Montreal, Canada"
2006-04-27 22:48,"DE CASTILLE & ALFRED, Montreal, Canada"
2006-04-29 12:00,"LAURIER & DE LORIMIER, Montreal, Canada"
2006-04-29 13:10,"VILLERAY & ST MICHEL, Montreal, Canada"
2006-04-29 16:40,"HENRI JULIEN & GUIZOT, Montreal, Canada"
2006-04-30 15:00,"65 CH BORD DU LAC , Montreal, Canada"
2006-04-30 15:45,"PROVENCHER & DENIS PAPIN, Montreal, Canada"
2006-04-30 16:05,"DES GALERIES D'ANJOU & BEAUBIEN, Montreal, Canada"
2006-05-01 07:57,"DE LORIMIER & BELLECHASSE, Montreal, Canada"
2006-05-01 17:30,"PAPINEAU & BARNABE LAROCQUE, Montreal, Canada"
2006-05-01 18:00,"STE CATHERINE & DORION, Montreal, Canada"
2006-05-02 07:56,"SHERBROOKE & DES ORMEAUX, Montreal, Canada"
2006-05-02 15:30,"JEAN RIVARD & 2E AV, Montreal, Canada"
2006-05-02 16:30,"LOGAN & ALEXANDER, Montreal, Canada"
2006-05-03 08:05,"SHERBROOKE & PIE IX, Montreal, Canada"
2006-05-03 17:43,"AMOS & ALFRED, Montreal, Canada"
2006-05-04 11:30,"WOLFE & ONTARIO, Montreal, Canada"
2006-05-04 11:50,"STE CATHERINE & ALEXANDRE DESEVE, Montreal, Canada"
2006-05-04 12:30,"RACHEL & DROLET, Montreal, Canada"
2006-05-04 13:15,
2006-05-04 14:48,"MONT ROYAL & DE LA ROCHE, Montreal, Canada"
2006-05-04 16:50,"GOHIER & BEAUDET, Montreal, Canada"
2006-05-04 18:38,"FAVARD & BOURGEOYS, Montreal, Canada"
2006-05-05 00:00,"CREMAZIE & 17E AV, Montreal, Canada"
2006-05-05 06:55,"JEAN TALON & DES HALLES, Montreal, Canada"
2006-05-05 12:25,"PIE IX & LAURIER, Montreal, Canada"
2006-05-05 18:36,"3875 PLAMONDON , Montreal, Canada"
2006-05-05 18:45,"ROQUEBRUNE & PROVENCHER, Montreal, Canada"
2006-05-05 22:00,"6140 HENRI BOURASSA , Montreal, Canada"
2006-05-05 22:00,"NOTRE DAME & 8E AV, Montreal, Canada"
2006-05-06 01:50,"MONT ROYAL & JEANNE MANCE, Montreal, Canada"
2006-05-06 03:00,"MONT ROYAL & CLARK, Montreal, Canada"
2006-05-06 11:00,"NOTRE DAME & DES ORMEAUX, Montreal, Canada"
2006-05-08 12:10,"7101 JEAN TALON , Montreal, Canada"
2006-05-08 12:25,"ST ZOTIQUE & 16E AV, Montreal, Canada"
2006-05-08 15:45,"RACHEL & BREBEUF, Montreal, Canada"
2006-05-08 16:20,"PAPINEAU & MONT ROYAL, Montreal, Canada"
2006-05-08 22:20,"ST LAURENT & DES PINS, Montreal, Canada"
2006-05-09 11:20,"WOOD & DE MAISONNEUVE, Montreal, Canada"
2006-05-09 14:20,"SHERBROOKE & DE BULLION, Montreal, Canada"
2006-05-09 17:25,"ST JOSEPH & DE LORIMIER, Montreal, Canada"
2006-05-09 23:30,"4117 ST LAURENT , Montreal, Canada"
2006-05-10 06:40,"RACHEL & MESSIER, Montreal, Canada"
2006-05-10 10:10,"BOUL. ST CHARLES & AUTOROUTE 20, Montreal, Canada"
2006-05-10 18:30,"LE CARON & HADLEY, Montreal, Canada"
2006-05-10 23:50,"SHERBROOKE & METCALFE, Montreal, Canada"
2006-05-11 08:00,"L'ASSOMPTION & BEAUBIEN, Montreal, Canada"
2006-05-11 15:00,"MONT ROYAL & ESPLANADE, Montreal, Canada"
2006-05-11 17:55,"NOTRE DAME & D'ORLEANS, Montreal, Canada"
2006-05-11 18:12,"ST ANDRE & RACHEL, Montreal, Canada"
2006-05-11 20:48,"ST DENIS & CARRE ST LOUIS, Montreal, Canada"
2006-05-11 21:15,"DULUTH & CLARK, Montreal, Canada"
2006-05-11 22:49,"MICHEL BOUVIER & LANGELIER, Montreal, Canada"
2006-05-11 22:52,"ST HUBERT & MONT ROYAL, Montreal, Canada"
2006-05-12 09:00,"VIGER & BERRI, Montreal, Canada"
2006-05-12 16:25,"SAUVE & OLYMPIA, Montreal, Canada"
2006-05-12 20:40,"VINCENT D'INDY & COTE STE CATHERINE, Montreal, Canada"
2006-05-15 16:50,
2006-05-16 11:11,"SHERBROOKE & ROBERT CHEVALIER, Montreal, Canada"
2006-05-16 21:30,"RACHEL & BOYER, Montreal, Canada"
2006-05-17 14:05,"7065 SAGARD , Montreal, Canada"
2006-05-17 16:20,"HERRON & DUMONT, Montreal, Canada"
2006-05-18 10:05,"7217 ST DENIS , Montreal, Canada"
2006-05-18 23:45,"ST URBAIN & DE MAISONNEUVE, Montreal, Canada"
2006-05-19 10:15,"ST ZOTIQUE & DES ECORES, Montreal, Canada"
2006-05-19 15:17,"SHERBROOKE & DE CARIGNAN, Montreal, Canada"
2006-05-19 20:00,"7098 D'IBERVILLE , Montreal, Canada"
2006-05-22 10:22,"4450 ST DENIS , Montreal, Canada"
2006-05-22 15:30,"ST ANDRE & RENE LEVESQUE, Montreal, Canada"
2006-05-23 10:25,"GUERTIN & DE SALABERRY, Montreal, Canada"
2006-05-23 13:05,"SALABERRY & GRENET, Montreal, Canada"
2006-05-23 18:33,"ST DENIS & BELLECHASSE, Montreal, Canada"
2006-05-23 20:10,"WILFRID PELLETIER & JOSEPH RENAUD, Montreal, Canada"
2006-05-24 07:30,"ST CHRISTOPHE & DULUTH, Montreal, Canada"
2006-05-24 16:55,"DES CARRIERES & CHABOT, Montreal, Canada"
2006-05-24 17:45,"ST ANDRE & BEAUBIEN, Montreal, Canada"
2006-05-25 13:50,"VIGER & BERRI, Montreal, Canada"
2006-05-25 14:40,"GEORGE VERMETTE & FORSYTH, Montreal, Canada"
2006-05-25 17:05,"WELLINGTON & 6E AV, Montreal, Canada"
2006-05-26 09:45,"DE MAISONNEUVE & ATWATER, Montreal, Canada"
2006-05-26 20:30,"MASSON & 1RE AV, Montreal, Canada"
2006-05-27 21:15,"DE LOUVAIN & 15E AV, Montreal, Canada"
2006-05-28 00:25,"ST HUBERT & BELLECHASSE, Montreal, Canada"
2006-05-28 11:15,"TRIANON & SHERBROOKE, Montreal, Canada"
2006-05-28 19:30,"4330 HENRI BOURASSA , Montreal, Canada"
2006-05-29 14:50,"GALERIES D'ANJOU & BELANGER, Montreal, Canada"
2006-05-29 16:32,"PIE IX & 42E RUE, Montreal, Canada"
2006-05-29 17:22,"MAGUIRE & DE GASPE, Montreal, Canada"
2006-05-29 19:30,"4217 CHRISTOPHE COLOMB , Montreal, Canada"
2006-05-30 11:45,"6000 HENRI BOURASSA , Montreal, Canada"
2006-05-30 12:45,"FAIRMOUNT & DU PARC, Montreal, Canada"
2006-05-30 14:45,"UNIVERSITY & CATHCART, Montreal, Canada"
2006-05-30 19:51,"LAURIER & CHRISTOPHE COLOMB, Montreal, Canada"
2006-05-30 21:36,"ST DENIS & BEAUBIEN, Montreal, Canada"
2006-05-31 11:37,"6744 DE L'ASSOMPTION , Montreal, Canada"
2006-05-31 13:30,"HENRI BOURASSA & DES LAURENTIDES, Montreal, Canada"
2006-05-31 16:49,"RACHEL & CARTIER, Montreal, Canada"
2006-06-01 06:27,"GOUIN & FREDMIR, Montreal, Canada"
2006-06-01 09:00,"ONTARIO & MONTCALM, Montreal, Canada"
2006-06-01 09:30,"ST URBAIN & PRINCE ARTHUR, Montreal, Canada"
2006-06-01 13:30,"STANLEY & SHERBROOKE, Montreal, Canada"
2006-06-01 15:45,"SHERBROOKE & CHAPLEAU, Montreal, Canada"
2006-06-01 17:05,"120 GRAHAM , Montreal, Canada"
2006-06-01 19:15,"HENRI BOURASSA & CHRISTOPHE COLOMB, Montreal, Canada"
2006-06-01 22:25,"SAUVE & CHRISTOPHE COLOMB, Montreal, Canada"
2006-06-01 23:20,"VAN HORNE & ST URBAIN, Montreal, Canada"
2006-06-01 23:20,"VAN HORNE & ST URBAIN, Montreal, Canada"
2006-06-02 15:40,"2001 MCGILL COLLEGE , Montreal, Canada"
2006-06-02 17:58,"STE MADELEINE & FAVARD, Montreal, Canada"
2006-06-02 18:00,"DE LA GAUCHETIERE & BLEURY, Montreal, Canada"
2006-06-02 22:35,"1112 BELLECHASSE , Montreal, Canada"
2006-06-03 03:35,"STE CATHERINE & IBERVILLE, Montreal, Canada"
2006-06-03 08:50,"3202 BEAUBIEN , Montreal, Canada"
2006-06-04 13:50,"1055 JARRY E, Montreal, Canada"
2006-06-04 15:50,"STE EMILIE & BOURGET, Montreal, Canada"
2006-06-04 15:50,"JEAN DARCET & CHARLES RENARD, Montreal, Canada"
2006-06-05 08:20,"WEST BROADWAY & SOMERLED, Montreal, Canada"
2006-06-05 08:33,"ELM & BROWN OWL, Montreal, Canada"
2006-06-05 08:45,"BELANGER & 42E AV, Montreal, Canada"
2006-06-05 09:25,"ONTARIO & DUFRESNE, Montreal, Canada"
2006-06-05 15:50,"SHERBROOKE & DELPHIS DELORME, Montreal, Canada"
2006-06-05 16:16,"ST JOSEPH & DE LORIMIER, Montreal, Canada"
2006-06-05 17:12,"LAURIER & HENRI JULIEN, Montreal, Canada"
2006-06-06 08:10,"ONTARIO & BERRI, Montreal, Canada"
2006-06-06 08:15,"10765 COTE DE LIESSE , Montreal, Canada"
2006-06-06 15:00,"OLYMPIA & HENRI BOURASSA, Montreal, Canada"
2006-06-06 20:00,"SELKIRK & BRUNSWICK, Montreal, Canada"
2006-06-07 07:55,"JEAN TALON & CLARK, Montreal, Canada"
2006-06-07 08:45,"PAPINEAU & MASSON, Montreal, Canada"
2006-06-07 16:55,"3942 ST DENIS , Montreal, Canada"
2006-06-08 14:10,"LESAGE & HICKSON, Montreal, Canada"
2006-06-08 16:30,"ST VIATEUR & DU PARC, Montreal, Canada"
2006-06-09 07:40,"ST HUBERT & ONTARIO, Montreal, Canada"
2006-06-09 08:24,"PRINCE ARTHUR & CLARK, Montreal, Canada"
2006-06-09 17:15,"ST ANDRE & ONTARIO, Montreal, Canada"
2006-06-09 21:07,"MONT ROYAL & DU PARC, Montreal, Canada"
2006-06-09 22:15,"CHRISTOPHE COLOMB & BELLECHASSE, Montreal, Canada"
2006-06-10 07:35,"PIE IX & 51E RUE, Montreal, Canada"
2006-06-10 12:05,"PRINCE ALBERT & 8E AV, Montreal, Canada"
2006-06-12 08:00,"7596 MAURICE DUPLESSIS , Montreal, Canada"
2006-06-12 09:03,"SHERBROOKE & PAPINEAU, Montreal, Canada"
2006-06-12 15:03,"GOUIN & DE LORIMIER, Montreal, Canada"
2006-06-12 19:30,"ST ANTOINE & CATHEDRALE, Montreal, Canada"
2006-06-13 07:52,"3913 ST URBAIN , Montreal, Canada"
2006-06-13 08:04,"ST PIERRE & AUTOROUTE 20, Montreal, Canada"
2006-06-13 08:50,"DE MAISONNEUVE & BERRI, Montreal, Canada"
2006-06-13 09:00,"ONTARIO & BERRI, Montreal, Canada"
2006-06-13 10:30,"ST DENIS & BELANGER, Montreal, Canada"
2006-06-13 16:35,"LIEGE & LAJEUNESSE, Montreal, Canada"
2006-06-13 16:44,"5400 COTE DE LIESSE , Montreal, Canada"
2006-06-14 11:22,"VIAU & JEAN TALON, Montreal, Canada"
2006-06-14 12:40,"RENE LEVESQUE & CATHEDRALE, Montreal, Canada"
2006-06-14 14:01,"ST GERMAIN & DE SALABERRY, Montreal, Canada"
2006-06-14 15:21,"PAIMPOL & LACORDAIRE, Montreal, Canada"
2006-06-14 15:40,"6300 JOSEPH RENAUD , Montreal, Canada"
2006-06-14 16:04,"5518 SHERBROOKE O, Montreal, Canada"
2006-06-14 21:30,"RACHEL & PAPINEAU, Montreal, Canada"
2006-06-15 07:42,"LANGELIER & JARRY, Montreal, Canada"
2006-06-15 10:10,"VIAU & CANNES, Montreal, Canada"
2006-06-16 11:30,"PARC GEORGES & FLEURY, Montreal, Canada"
2006-06-16 14:12,"HAMPTON & FIELDING, Montreal, Canada"
2006-06-16 14:57,"6147 15E AV , Montreal, Canada"
2006-06-16 15:55,"VAN HORNE & COTE DES NEIGES, Montreal, Canada"
2006-06-16 17:25,"SAGARD & BELANGER, Montreal, Canada"
2006-06-16 18:35,"PIERRE GADOIS & BEAUBIEN, Montreal, Canada"
2006-06-16 20:04,"EVERETT & DE LORIMIER, Montreal, Canada"
2006-06-17 13:55,"965 DE MAISONNEUVE , Montreal, Canada"
2006-06-17 18:28,"PAPINEAU & L O DAVID, Montreal, Canada"
2006-06-17 19:44,"D'ORLEANS & ADAM, Montreal, Canada"
2006-06-17 19:44,"D'ORLEANS & ADAM, Montreal, Canada"
2006-06-18 10:00,"208 AV MARTIN , Montreal, Canada"
2006-06-18 17:55,"MONT ROYAL & JEANNE MANCE, Montreal, Canada"
2006-06-19 10:20,"155 ATWATER , Montreal, Canada"
2006-06-19 13:00,
2006-06-19 17:21,"RACHEL & FULLUM, Montreal, Canada"
2006-06-19 17:30,"2175 DE MAISONNEUVE , Montreal, Canada"
2006-06-19 22:42,"LAURIER & COTE STE CATHERINE, Montreal, Canada"
2006-06-20 11:00,"400 LAFLEUR , Montreal, Canada"
2006-06-20 14:12,"DE VIMY & BATES, Montreal, Canada"
2006-06-20 15:10,"VICTORIA & CARLTON, Montreal, Canada"
2006-06-21 08:00,"10071 MARCHE CENTRAL , Montreal, Canada"
2006-06-21 10:25,"RIVARD & GILFORD, Montreal, Canada"
2006-06-21 15:37,"VIGER & BERRI, Montreal, Canada"
2006-06-21 16:04,"WORKMAN & ATWATER, Montreal, Canada"
2006-06-21 16:45,"ROSEMONT & MOLSON, Montreal, Canada"
2006-06-21 17:15,"ST HUBERT & ROSEMONT, Montreal, Canada"
2006-06-21 17:17,"WELLINGTON & MULLINS, Montreal, Canada"
2006-06-21 20:15,"ST ANTOINE & ATWATER, Montreal, Canada"
2006-06-21 21:20,"6715 CHRISTOPHE COLOMB , Montreal, Canada"
2006-06-21 21:50,"ST ZOTIQUE & CHRISTOPHE COLOMB, Montreal, Canada"
2006-06-21 22:19,"MILLEN & FLEURY, Montreal, Canada"
2006-06-21 22:44,"ST DENIS & ONTARIO, Montreal, Canada"
2006-06-22 11:40,"ST HUBERT & ONTARIO, Montreal, Canada"
2006-06-22 16:50,"ST DENIS & MARIE ANNE, Montreal, Canada"
2006-06-22 19:00,"4522 ST URBAIN , Montreal, Canada"
2006-06-23 06:20,"ST LAURENT & ST ANTOINE, Montreal, Canada"
2006-06-23 06:55,"ST MICHEL & JEAN TALON, Montreal, Canada"
2006-06-23 15:30,"8365 ST LAURENT , Montreal, Canada"
2006-06-23 16:25,"DISRAELI & DE LORIMIER, Montreal, Canada"
2006-06-23 19:00,"FINCHLEY & CH FLEET, Montreal, Canada"
2006-06-23 20:20,"3060 ST JOSEPH , Montreal, Canada"
2006-06-23 23:10,"PIERREFONDS & JACQUES BIZARD, Montreal, Canada"
2006-06-24 00:15,"RACHEL & HENRI JULIEN, Montreal, Canada"
2006-06-24 11:30,"GOUIN & DE LORIMIER, Montreal, Canada"
2006-06-24 11:30,"VERVILLE & CREMAZIE, Montreal, Canada"
2006-06-24 12:05,"1400 RENE LEVESQUE , Montreal, Canada"
2006-06-24 19:27,"WESTMOUNT & VICTORIA, Montreal, Canada"
2006-06-24 20:05,"7132 MOUSSEAU , Montreal, Canada"
2006-06-24 21:16,"4364 ST DENIS , Montreal, Canada"
2006-06-24 23:12,"ST URBAIN & LAURIER, Montreal, Canada"
2006-06-25 10:00,"ST HUBERT & SHERBROOKE, Montreal, Canada"
2006-06-25 13:30,
2006-06-25 14:50,"HONORE BEAUGRAND & HOCHELAGA, Montreal, Canada"
2006-06-25 17:30,"GOUIN & CHARTRAND, Montreal, Canada"
2006-06-25 17:47,"LACORDAIRE & HENRI BOURASSA, Montreal, Canada"
2006-06-26 09:20,"PRESIDENT KENNEDY & MCGILL COLLEGE, Montreal, Canada"
2006-06-26 14:20,"VICTORIA & DE LA PELTRIE, Montreal, Canada"
2006-06-26 15:10,"INDUSTRIEL & DES RECOLLETS, Montreal, Canada"
2006-06-26 22:30,"SAUVE & L'ACADIE, Montreal, Canada"
2006-06-27 17:00,"LAZARD & GRAHAM, Montreal, Canada"
2006-06-27 17:40,"RENE LEVESQUE & PEEL, Montreal, Canada"
2006-06-27 21:18,"VICTORIA & JEAN TALON, Montreal, Canada"
2006-06-28 12:45,"SHERBROOKE & LACORDAIRE, Montreal, Canada"
2006-06-29 15:25,"1107 STE CATHERINE , Montreal, Canada"
2006-06-29 19:05,"METROPOLITAIN & LACORDAIRE, Montreal, Canada"
2006-06-29 19:40,"8520 NEWMAN , Montreal, Canada"
2006-06-30 15:00,"3100 WELLINGTON , Montreal, Canada"
2006-06-30 17:06,"6655 ST DOMINIQUE , Montreal, Canada"
2006-06-30 17:30,"DU BARRY & BOUL. ST CHARLES, Montreal, Canada"
2006-07-01 09:46,"CH TOUR DE L'ILE & CH JACQUES CARTIER, Montreal, Canada"
2006-07-01 11:30,"SHERBROOKE & MCGILL COLLEGE, Montreal, Canada"
2006-07-02 02:05,"DE MAISONNEUVE & AMHERST, Montreal, Canada"
2006-07-02 10:34,"MONKLAND & MADISON, Montreal, Canada"
2006-07-03 10:06,"4397 STE ANNE , Montreal, Canada"
2006-07-03 19:45,"453 SOULIGNY , Montreal, Canada"
2006-07-04 08:25,"6583 SHERBROOKE E, Montreal, Canada"
2006-07-04 12:20,"CENTRE & ATWATER, Montreal, Canada"
2006-07-04 13:53,"6624 SOMERLED , Montreal, Canada"
2006-07-04 16:54,"5610 ST LAURENT , Montreal, Canada"
2006-07-04 22:15,"2774 DE SALABERRY , Montreal, Canada"
2006-07-05 10:11,"SHEVCHENKO & JEAN BRILLON, Montreal, Canada"
2006-07-05 11:58,"SHEVCHENKO & NEWMAN, Montreal, Canada"
2006-07-05 16:00,"PROVENCHER & METROPOLITAIN, Montreal, Canada"
2006-07-05 16:30,"NEWMAN & ANGRIGNON, Montreal, Canada"
2006-07-05 17:20,"PROVENCE & LAVOISIER, Montreal, Canada"
2006-07-05 20:15,"CHAMPLAIN & BD BISHOP POWER, Montreal, Canada"
2006-07-06 09:55,"10801 RAY LAWSON , Montreal, Canada"
2006-07-06 13:24,"CH BORD DU LAC & AV DORVAL, Montreal, Canada"
2006-07-06 17:10,"STE CATHERINE & ST CLEMENT, Montreal, Canada"
2006-07-06 21:35,"GOUIN & 26E AV, Montreal, Canada"
2006-07-07 08:08,"ROUEN & LASALLE, Montreal, Canada"
2006-07-07 14:45,"TAYLOR & DE SALABERRY, Montreal, Canada"
2006-07-07 15:35,"ST JOSEPH & 15E AV, Montreal, Canada"
2006-07-07 17:15,"4663 DES SOURCES , Montreal, Canada"
2006-07-08 04:10,"SHERBROOKE & DE LORIMIER, Montreal, Canada"
2006-07-08 10:23,"GOUIN & BOURGET, Montreal, Canada"
2006-07-08 14:23,"SUMMERHIL & KING S, Montreal, Canada"
2006-07-08 23:15,"MTEE MACDONALD & CH MACDONALD, Montreal, Canada"
2006-07-09 11:30,"SHAUGHNESSY & JEAN TALON, Montreal, Canada"
2006-07-09 17:40,"7166 CHAMBORD , Montreal, Canada"
2006-07-09 17:40,"RODOLPHE FORGET & MAURICE DUPLESSIS, Montreal, Canada"
2006-07-10 13:00,"ONTARIO & BERRI, Montreal, Canada"
2006-07-10 14:17,"CREMAZIE & BASILE ROUTHIER, Montreal, Canada"
2006-07-10 14:55,"MAURICE DUPLESSIS & DESY, Montreal, Canada"
2006-07-10 17:15,"EMILE JOURNAULT & BERRI, Montreal, Canada"
2006-07-10 19:43,"DE LA VERENDRYE & 75E AV, Montreal, Canada"
2006-07-10 20:30,"700 CHAMPLAIN , Montreal, Canada"
2006-07-11 10:50,"2200 CHAMPLAIN , Montreal, Canada"
2006-07-11 11:50,"FLEET & DUFFERIN, Montreal, Canada"
2006-07-11 12:20,"YVES PREVOST & LOUIS H LAFONTAINE, Montreal, Canada"
2006-07-11 14:00,"DEZERY & DE ROUEN, Montreal, Canada"
2006-07-11 14:30,"977 DE MAISONNEUVE , Montreal, Canada"
2006-07-11 17:32,"5599 COTE ST LUC , Montreal, Canada"
2006-07-11 18:10,"RACHEL & DE BULLION, Montreal, Canada"
2006-07-11 20:21,"PAPINEAU & MASSON, Montreal, Canada"
2006-07-12 13:05,"RACHEL & CHAMBORD, Montreal, Canada"
2006-07-12 16:50,"L'ARCHEVEQUE & HENRI BOURASSA, Montreal, Canada"
2006-07-12 17:20,"SALLEY & DOLLARD, Montreal, Canada"
2006-07-12 17:45,"WILDERTON & JEAN TALON, Montreal, Canada"
2006-07-12 18:00,"CREMAZIE & CHRISTOPHE COLOMB, Montreal, Canada"
2006-07-12 21:15,"DES ERABLES & BELLECHASSE, Montreal, Canada"
2006-07-12 23:19,"VILLE MARIE & HOCHELAGA, Montreal, Canada"
2006-07-13 09:35,"8000 DECARIE , Montreal, Canada"
2006-07-13 12:15,"7945 MAURICE DUPLESSIS , Montreal, Canada"
2006-07-13 12:20,"RICHARD & NOTRE DAME, Montreal, Canada"
2006-07-13 17:00,"ROUEN & DE LORIMIER, Montreal, Canada"
2006-07-13 21:55,"BELANGER & 30E AV, Montreal, Canada"
2006-07-14 12:34,"DE MONTIGNY & DE MAISONNEUVE, Montreal, Canada"
2006-07-14 14:50,"RACHEL & DE LA ROCHE, Montreal, Canada"
2006-07-14 16:30,
2006-07-14 20:35,"LACORDAIRE & DES GRANDES PRAIRIES, Montreal, Canada"
2006-07-14 22:50,"PROVOST & 25E AV, Montreal, Canada"
2006-07-14 23:30,"RENE LEVESQUE & PEEL, Montreal, Canada"
2006-07-16 19:30,"5230 MONTCLAIR , Montreal, Canada"
2006-07-16 20:36,"DE L'EGLISE & CLAUDE, Montreal, Canada"
2006-07-17 00:42,"SHERBROOKE & PANET, Montreal, Canada"
