id,Time,Address,Street 1,Street 2,Street 3,Impact type,Environment,Light,Traffic control,Severity,Number of vehicles,Number of injured persons,Number of pedestrians
100345277,2010-11-18 17:53:00,"COLONEL BY DR at HAWTHORNE AVE, Ottawa, ON, Canada",COLONEL BY DR,HAWTHORNE AVE,,Turning Movement,Clear,Dark,Traffic Signal,Non-fatal injury,2,1,0
100345256,2010-11-18 17:34:00,"ELGIN ST at LEWIS ST, Ottawa, ON, Canada",ELGIN ST,LEWIS ST,,Angle,Clear,Dark,Stop Sign,Non-fatal injury,2,1,0
100343589,2010-11-17 08:53:00,"DONALD ST at ST. LAURENT BLVD, Ottawa, ON, Canada",DONALD ST,ST. LAURENT BLVD,,Turning Movement,Rain,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100339525,2010-11-13 15:50:00,"HAWTHORNE AVE at QUEEN ELIZABETH DRWY, Ottawa, ON, Canada",HAWTHORNE AVE,QUEEN ELIZABETH DRWY,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100338172,2010-11-12 07:28:00,"HOLLY ACRES RD at HWY 416 ACRES IC75R24, Ottawa, ON, Canada",HOLLY ACRES RD,HWY 416 ACRES IC75R24,,Angle,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100336426,2010-11-10 15:42:00,"ST. LAURENT BLVD at SUSAN ST, Ottawa, ON, Canada",ST. LAURENT BLVD,SUSAN ST,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100335417,2010-11-09 16:56:00,"LAURIER AVE at RANGE RD, Ottawa, ON, Canada",LAURIER AVE,RANGE RD,,Turning Movement,Clear,Dusk,Stop Sign,Non-fatal injury,2,1,0
100326726,2010-11-01 17:15:00,"ISLAND PARK DR at SCOTT ST, Ottawa, ON, Canada",ISLAND PARK DR,SCOTT ST,,Turning Movement,Clear,Dusk,Traffic Signal,Non-fatal injury,2,1,0
100322242,2010-10-28 16:36:00,"BANK ST at CATHERINE ST, Ottawa, ON, Canada",BANK ST,CATHERINE ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100321072,2010-10-27 15:55:00,"DON REID DR at WALKLEY RD, Ottawa, ON, Canada",DON REID DR,WALKLEY RD,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100320118,2010-10-26 18:29:00,"MONTREAL RD at EGLISE, RUE DE L, Ottawa, ON, Canada",MONTREAL RD,"EGLISE, RUE DE L",ST. LAURENT BLVD,Approaching,Clear,Dark,No control,P.D. Only,2,0,0
100319991,2010-10-26 08:30:00,"KING EDWARD AVE at SUSSEX DR, Ottawa, ON, Canada",KING EDWARD AVE,SUSSEX DR,UNION ST,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100318851,2010-10-25 16:16:00,"DALHOUSIE ST at YORK ST, Ottawa, ON, Canada",DALHOUSIE ST,YORK ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100318343,2010-10-25 07:25:00,"MERIVALE RD at VIEWMOUNT DR, Ottawa, ON, Canada",MERIVALE RD,VIEWMOUNT DR,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100316938,2010-10-23 17:30:00,"MCARTHUR AVE at VANIER PKWY, Ottawa, ON, Canada",MCARTHUR AVE,VANIER PKWY,,Angle,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100316766,2010-10-23 15:58:00,"CARILLON ST at DESROSIERS, RUE ST, Ottawa, ON, Canada",CARILLON ST,"DESROSIERS, RUE ST",,Angle,Clear,Daylight,Stop Sign,P.D. Only,2,0,0
100316498,2010-10-23 11:36:00,"ALTA VISTA DR at KILBORN AVE, Ottawa, ON, Canada",ALTA VISTA DR,KILBORN AVE,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100315839,2010-10-22 19:25:00,"BANK ST at BILLINGS TRANSIT, Ottawa, ON, Canada",BANK ST,BILLINGS TRANSIT,RIVERSIDE DR,Angle,Clear,Dark,No control,Non-fatal injury,2,1,0
100314798,2010-10-21 19:00:00,"MCARTHUR AVE at ST. LAURENT BLVD, Ottawa, ON, Canada",MCARTHUR AVE,ST. LAURENT BLVD,,Rear End,Clear,Dark,Traffic Signal,P.D. Only,2,0,0
100314380,2010-10-21 13:17:00,"METCALFE ST at ALBERT ST, Ottawa, ON, Canada",METCALFE ST,ALBERT ST,SLATER ST,Sideswipe,Clear,Daylight,No control,Non-fatal injury,2,1,0
100310710,2010-10-18 09:50:00,"NICHOLAS ST at BESSERER ST, Ottawa, ON, Canada",NICHOLAS ST,BESSERER ST,DALY AVE,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100310644,2010-10-18 08:50:00,"MONTREAL RD at BRITTANY DR, Ottawa, ON, Canada",MONTREAL RD,BRITTANY DR,CENTER ST,Turning Movement,Clear,Daylight,No control,P.D. Only,2,0,0
100308149,2010-10-15 19:03:00,"CARLING AVE EB at CARLING AVE RAMP 57, Ottawa, ON, Canada",CARLING AVE EB,CARLING AVE RAMP 57,KIRKWOOD AVE S,Angle,Rain,Daylight,No control,Non-fatal injury,2,1,0
100307422,2010-10-15 08:37:00,"BATEMAN DR at GREENBANK RD, Ottawa, ON, Canada",BATEMAN DR,GREENBANK RD,,Turning Movement,Rain,Dark,Traffic Signal,Non-fatal injury,2,1,0
100305231,2010-10-13 07:50:00,"MONTREAL RD at PARK ST, Ottawa, ON, Canada",MONTREAL RD,PARK ST,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100306564,2010-10-12 17:59:00,"GOLDEN AVE at KENWOOD AVE, Ottawa, ON, Canada",GOLDEN AVE,KENWOOD AVE,,Turning Movement,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100304792,2010-10-12 07:30:00,"CARMEN AVE at MCARTHUR AVE, Ottawa, ON, Canada",CARMEN AVE,MCARTHUR AVE,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100302733,2010-10-10 14:41:00,"DALHOUSIE ST at YORK ST, Ottawa, ON, Canada",DALHOUSIE ST,YORK ST,,Sideswipe,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100299518,2010-10-07 18:20:00,"CAROLINE AVE at WELLINGTON ST, Ottawa, ON, Canada",CAROLINE AVE,WELLINGTON ST,,Sideswipe,Clear,Dusk,Stop Sign,Non-fatal injury,2,1,0
100299434,2010-10-07 17:13:00,"BANK ST at WILTON CRES, Ottawa, ON, Canada",BANK ST,WILTON CRES,,Turning Movement,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100298440,2010-10-06 19:44:00,"ST. LAURENT BLVD at BOURASSA ST, Ottawa, ON, Canada",ST. LAURENT BLVD,BOURASSA ST,INDUSTRIAL AVE,Angle,Rain,Dark,No control,Non-fatal injury,2,1,0
100297202,2010-10-05 17:45:00,"LYNHAR RD at RICHMOND RD, Ottawa, ON, Canada",LYNHAR RD,RICHMOND RD,,Angle,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100295631,2010-10-04 12:43:00,"LAURIER AVE at COPERNICUS ST, Ottawa, ON, Canada",LAURIER AVE,COPERNICUS ST,RING LANE,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100295627,2010-10-04 12:35:00,"BLAIR RD at OR174 IC112 RAMP 26, Ottawa, ON, Canada",BLAIR RD,OR174 IC112 RAMP 26,OR174 IC112 RAMP 52,Rear End,Clear,Daylight,No control,Non-fatal injury,2,1,0
100295169,2010-10-03 23:00:00,"ALBION RD at FENTON RD, Ottawa, ON, Canada",ALBION RD,FENTON RD,LEITRIM RD S,Sideswipe,Clear,Dark,No control,Non-fatal injury,2,1,0
100294303,2010-10-03 02:45:00,"MACKENZIE AVE at 205 N OF RIDEAU ST, Ottawa, ON, Canada",MACKENZIE AVE,205 N OF RIDEAU ST,MURRAY ST,Rear End,Clear,Dark,No control,Non-fatal injury,2,1,0
100293624,2010-10-02 15:02:00,"RICHMOND RD at CLIFTON RD, Ottawa, ON, Canada",RICHMOND RD,CLIFTON RD,KIRKWOOD AVE,Rear End,Clear,Daylight,No control,Non-fatal injury,2,1,0
100293388,2010-10-02 10:55:00,"RICHMOND RD at EDEN AVE, Ottawa, ON, Canada",RICHMOND RD,EDEN AVE,EDGEWOOD AVE,Sideswipe,Clear,Daylight,No control,P.D. Only,2,0,0
100291152,2010-09-30 10:56:00,"BANK ST at BILLINGS TRANSIT, Ottawa, ON, Canada",BANK ST,BILLINGS TRANSIT,RIVERSIDE DR,Turning Movement,Rain,Daylight,No control,Non-fatal injury,2,1,0
100290025,2010-09-29 12:31:00,"LAURIER AVE at BANK ST, Ottawa, ON, Canada",LAURIER AVE,BANK ST,KENT ST,Sideswipe,Clear,Daylight,No control,Non-fatal injury,2,1,0
100288138,2010-09-27 06:21:00,"SMYTH RD at SMYTH RD RAMP 51, Ottawa, ON, Canada",SMYTH RD,SMYTH RD RAMP 51,,Angle,Rain,Dark,Yield Sign,Non-fatal injury,2,1,0
100287133,2010-09-26 18:45:00,"CARLING AVE EB at ACRES RD, Ottawa, ON, Canada",CARLING AVE EB,ACRES RD,BAYSHORE DR,Angle,Clear,Dusk,No control,Non-fatal injury,2,1,0
100287041,2010-09-26 16:40:00,"KENT ST at LAURIER AVE, Ottawa, ON, Canada",KENT ST,LAURIER AVE,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100285846,2010-09-25 12:35:00,"HAWTHORNE RD at HUNT CLUB RD, Ottawa, ON, Canada",HAWTHORNE RD,HUNT CLUB RD,STEVENAGE DR,Sideswipe,Clear,Daylight,No control,Fatal Injury,2,1,0
100284822,2010-09-24 16:15:00,"BRONSON AVE at LAURIER AVE, Ottawa, ON, Canada",BRONSON AVE,LAURIER AVE,,Single Vehicle (Other),Clear,Daylight,Traffic Signal,Non-fatal injury,1,1,0
100283235,2010-09-23 10:10:00,"GILMOUR ST at PERCY ST, Ottawa, ON, Canada",GILMOUR ST,PERCY ST,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100283082,2010-09-23 08:15:00,"CARLING AVE at PRESTON ST, Ottawa, ON, Canada",CARLING AVE,PRESTON ST,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100282513,2010-09-22 16:05:00,"SMYTH RD at SMYTH RD RAMP 51, Ottawa, ON, Canada",SMYTH RD,SMYTH RD RAMP 51,,Sideswipe,Clear,Daylight,Yield Sign,Non-fatal injury,2,1,0
100281201,2010-09-21 15:18:00,"BANK ST at WALKLEY RD, Ottawa, ON, Canada",BANK ST,WALKLEY RD,,Rear End,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100280657,2010-09-21 07:00:00,"CARLING AVE WB at HOLLY ACRES RD, Ottawa, ON, Canada",CARLING AVE WB,HOLLY ACRES RD,MAPLEHURST AVE,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100279603,2010-09-20 09:36:00,"KILBORN AVE at BEAUMONT RD, Ottawa, ON, Canada",KILBORN AVE,BEAUMONT RD,DELMAR DR,Sideswipe,Clear,Daylight,No control,P.D. Only,2,0,0
100279500,2010-09-20 08:00:00,"BOOTH ST at OTTAWA RIVER PKWY, Ottawa, ON, Canada",BOOTH ST,OTTAWA RIVER PKWY,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100279456,2010-09-20 07:13:00,"DONALD ST at VANIER PKWY, Ottawa, ON, Canada",DONALD ST,VANIER PKWY,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100278968,2010-09-19 16:10:00,"GREYNAM CRT E at MEDHURST DR E, Ottawa, ON, Canada",GREYNAM CRT E,MEDHURST DR E,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100277904,2010-09-18 17:07:00,"GLANDRIEL CRES W at VALIN ST, Ottawa, ON, Canada",GLANDRIEL CRES W,VALIN ST,,Turning Movement,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100275791,2010-09-16 19:00:00,"WOODROFFE AVE at EARL MULLIGAN DR, Ottawa, ON, Canada",WOODROFFE AVE,EARL MULLIGAN DR,FALLOWFIELD RD,Angle,Clear,Daylight,No control,P.D. Only,2,0,0
100275672,2010-09-16 17:30:00,"BRONSON AVE at FIFTH AVE, Ottawa, ON, Canada",BRONSON AVE,FIFTH AVE,,Turning Movement,Rain,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100274345,2010-09-15 17:04:00,"HERON RD at NO NAME, Ottawa, ON, Canada",HERON RD,NO NAME,NO NAME,Rear End,Clear,Daylight,No control,Non-fatal injury,2,1,0
100273614,2010-09-15 07:30:00,"BANK ST at BILLINGS TRANSIT, Ottawa, ON, Canada",BANK ST,BILLINGS TRANSIT,RIVERSIDE DR,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100273280,2010-09-14 19:35:00,"CARLING AVE at KIRKWOOD AVE N, Ottawa, ON, Canada",CARLING AVE,KIRKWOOD AVE N,,Angle,Clear,Dusk,Traffic Signal,Non-fatal injury,2,2,0
100270492,2010-09-12 12:23:00,"BRONSON AVE at COOPER ST, Ottawa, ON, Canada",BRONSON AVE,COOPER ST,LISGAR ST,Sideswipe,Clear,Daylight,No control,Non-fatal injury,3,1,0
100269735,2010-09-11 19:38:00,"HENNESSY CRES at VALIN ST, Ottawa, ON, Canada",HENNESSY CRES,VALIN ST,,Angle,Clear,Dark,Stop Sign,Non-fatal injury,2,1,0
100269223,2010-09-11 10:48:00,"MACKENZIE AVE at RIDEAU ST, Ottawa, ON, Canada",MACKENZIE AVE,RIDEAU ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100268415,2010-09-10 17:57:00,"ISLAND PARK DR at BASSETT LANE, Ottawa, ON, Canada",ISLAND PARK DR,BASSETT LANE,RICHMOND RD,Sideswipe,Clear,Daylight,No control,Non-fatal injury,2,1,0
100268155,2010-09-10 14:20:00,"BEECHWOOD AVE at MACKAY ST, Ottawa, ON, Canada",BEECHWOOD AVE,MACKAY ST,SPRINGFIELD RD,Sideswipe,Clear,Daylight,No control,Non-fatal injury,2,1,0
100267733,2010-09-10 08:34:00,"BRONSON AVE at FIFTH AVE, Ottawa, ON, Canada",BRONSON AVE,FIFTH AVE,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100267378,2010-09-09 23:47:00,"BANK ST at MASON ST, Ottawa, ON, Canada",BANK ST,MASON ST,MEADOW DR,Rear End,Clear,Dark,No control,Fatal Injury,2,1,0
100266538,2010-09-09 08:19:00,"QUEEN ST at BAY ST, Ottawa, ON, Canada",QUEEN ST,BAY ST,LYON ST,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100265972,2010-09-08 17:18:00,"BEECHWOOD AVE at CRICHTON ST, Ottawa, ON, Canada",BEECHWOOD AVE,CRICHTON ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100264875,2010-09-07 18:11:00,"HOLITMAN DR at FALLOWFIELD RD, Ottawa, ON, Canada",482 E OF HOLITMAN DR,FALLOWFIELD RD,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100264812,2010-09-07 16:00:00,"ELGIN ST at SLATER ST, Ottawa, ON, Canada",ELGIN ST,SLATER ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100262659,2010-09-05 16:27:00,"RICHMOND RD at HIGH ST, Ottawa, ON, Canada",RICHMOND RD,HIGH ST,PINECREST RD,Sideswipe,Clear,Daylight,No control,P.D. Only,2,0,0
100262519,2010-09-05 13:40:00,"BRONSON AVE at COOPER ST, Ottawa, ON, Canada",BRONSON AVE,COOPER ST,LISGAR ST,(Unattended Vehicle),Clear,Daylight,No control,P.D. Only,1,0,0
100260917,2010-09-03 22:11:00,"ST. LAURENT BLVD at WALKLEY RD, Ottawa, ON, Canada",ST. LAURENT BLVD,WALKLEY RD,,Turning Movement,Rain,Dark,Traffic Signal,Non-fatal injury,2,1,0
100260558,2010-09-03 16:47:00,"BASELINE RD at FARLANE BLVD, Ottawa, ON, Canada",BASELINE RD,FARLANE BLVD,,Turning Movement,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100260408,2010-09-03 14:42:00,"KENT ST at WELLINGTON ST, Ottawa, ON, Canada",KENT ST,WELLINGTON ST,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100259314,2010-09-02 15:47:00,"CAMPEAU DR at STONECROFT TER, Ottawa, ON, Canada",CAMPEAU DR,STONECROFT TER,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100259271,2010-09-02 15:12:00,"INNES RD at LANTHIER DR, Ottawa, ON, Canada",INNES RD,LANTHIER DR,TENTH LINE RD,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100258688,2010-09-02 02:39:00,"SOMERSET ST at SWEETLAND AVE, Ottawa, ON, Canada",SOMERSET ST,SWEETLAND AVE,,Other,Clear,Dark,Stop Sign,Fatal Injury,1,1,0
100257965,2010-09-01 14:25:00,"MAXIME ST at CYRVILLE RD, Ottawa, ON, Canada",MAXIME ST,CYRVILLE RD,RIDGEBROOK DR,Angle,Clear,Daylight,No control,P.D. Only,2,0,0
100256561,2010-08-31 10:49:00,"WELLINGTON ST at HARMER AVE, Ottawa, ON, Canada",WELLINGTON ST,HARMER AVE,HURON AVE,Sideswipe,Clear,Daylight,No control,Non-fatal injury,2,1,0
100255832,2010-08-30 17:16:00,"MONTREAL RD at AVIATION PKWY, Ottawa, ON, Canada",MONTREAL RD,AVIATION PKWY,THOMSON ST,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100254503,2010-08-29 12:50:00,"MARCH RD at CORKSTOWN RD, Ottawa, ON, Canada",MARCH RD,CORKSTOWN RD,HERZBERG RD,Sideswipe,Clear,Daylight,No control,Non-fatal injury,2,1,0
100253972,2010-08-28 21:24:00,"INNES RD at WILDFLOWER DR, Ottawa, ON, Canada",INNES RD,WILDFLOWER DR,,Angle,Clear,Dark,Traffic Signal,Non-fatal injury,2,1,0
100253967,2010-08-28 21:15:00,"BANK ST at CHAMBERLAIN AVE N, Ottawa, ON, Canada",BANK ST,CHAMBERLAIN AVE N,,Turning Movement,Clear,Dark,Traffic Signal,Non-fatal injury,2,1,0
100253937,2010-08-28 20:45:00,"BANK ST at FIFTH AVE, Ottawa, ON, Canada",BANK ST,FIFTH AVE,,Turning Movement,Clear,Dark,Traffic Signal,Non-fatal injury,2,1,0
100253489,2010-08-28 12:40:00,"OTTERSON DR at WALKLEY RD, Ottawa, ON, Canada",OTTERSON DR,WALKLEY RD,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100253660,2010-08-27 19:00:00,"ELGIN ST NB at RIDEAU ST, Ottawa, ON, Canada",ELGIN ST NB,RIDEAU ST,,Sideswipe,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100252387,2010-08-27 13:44:00,"RIVERSIDE DR at SMYTH RD NORTH SIDE RAMP, Ottawa, ON, Canada",RIVERSIDE DR,SMYTH RD NORTH SIDE RAMP,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100250892,2010-08-26 08:42:00,"MONTREAL RD at PALACE ST, Ottawa, ON, Canada",MONTREAL RD,PALACE ST,VANIER PKWY,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100250376,2010-08-25 18:09:00,"O'CONNOR ST at SOMERSET ST, Ottawa, ON, Canada",O'CONNOR ST,SOMERSET ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100259297,2010-08-24 17:45:00,"MERIVALE RD at VIEWMOUNT DR, Ottawa, ON, Canada",MERIVALE RD,VIEWMOUNT DR,,Angle,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100251132,2010-08-24 17:00:00,"FALLOWFIELD RD at WOLFGANG DR, Ottawa, ON, Canada",FALLOWFIELD RD,WOLFGANG DR,,Angle,Unknown,Daylight,Stop Sign,Non-fatal injury,2,1,0
100249120,2010-08-24 16:31:00,"BANK ST at THIRD AVE, Ottawa, ON, Canada",BANK ST,THIRD AVE,,Angle,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100247522,2010-08-23 08:12:00,"CARLING AVE at CLYDE AVE, Ottawa, ON, Canada",CARLING AVE,CLYDE AVE,,Angle,Rain,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100247514,2010-08-23 07:30:00,"CONROY RD at ROSEBELLA, Ottawa, ON, Canada",CONROY RD,ROSEBELLA,ROSEBELLA AVE,Sideswipe,Rain,Daylight,No control,Non-fatal injury,2,1,0
100247061,2010-08-22 16:54:00,"HAWTHORNE AVE at COLONEL BY DR, Ottawa, ON, Canada",HAWTHORNE AVE,COLONEL BY DR,MAIN ST,Rear End,Clear,Daylight,No control,Non-fatal injury,2,1,0
100247029,2010-08-22 16:10:00,"MONTREAL RD at ST. LAURENT BLVD, Ottawa, ON, Canada",MONTREAL RD,ST. LAURENT BLVD,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100243988,2010-08-19 20:50:00,"CALDWELL AVE at MORISSET AVE, Ottawa, ON, Canada",CALDWELL AVE,MORISSET AVE,,Rear End,Clear,Dark,Stop Sign,Non-fatal injury,2,1,0
100243180,2010-08-19 07:41:00,"BANK ST at BILLINGS TRANSIT, Ottawa, ON, Canada",BANK ST,BILLINGS TRANSIT,RIVERSIDE DR,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100243405,2010-08-18 22:30:00,"BERRIGAN DR at GREENBANK RD, Ottawa, ON, Canada",BERRIGAN DR,GREENBANK RD,,Turning Movement,Clear,Dark,Traffic Signal,P.D. Only,2,0,0
100242643,2010-08-18 18:05:00,"MANOTICK STATION RD at MITCH OWENS RD, Ottawa, ON, Canada",MANOTICK STATION RD,MITCH OWENS RD,,Single Vehicle (Other),Clear,Daylight,Stop Sign,Non-fatal injury,1,1,0
100242573,2010-08-18 17:00:00,"BANK ST SB at CAHILL DR, Ottawa, ON, Canada",BANK ST SB,CAHILL DR,HUNT CLUB RD,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100243729,2010-08-18 16:30:00,"RIDEAUVIEW TER at PRINCE OF WALES DR, Ottawa, ON, Canada",548 N OF RIDEAUVIEW TER,PRINCE OF WALES DR,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100241528,2010-08-17 17:15:00,"BREEZEHILL AVE at GLADSTONE AVE, Ottawa, ON, Canada",BREEZEHILL AVE,GLADSTONE AVE,,Angle,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
100241341,2010-08-17 14:45:00,"ST. LAURENT BLVD at 125 N OF QUEEN MARY ST, Ottawa, ON, Canada",ST. LAURENT BLVD,125 N OF QUEEN MARY ST,DONALD ST,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100241342,2010-08-17 14:43:00,"ALBION RD at ROYAL OAK CRT, Ottawa, ON, Canada",ALBION RD,ROYAL OAK CRT,,Angle,Rain,Daylight,Stop Sign,Non-fatal injury,2,1,0
100240969,2010-08-17 08:50:00,"LAURIER AVE at O'CONNOR ST, Ottawa, ON, Canada",LAURIER AVE,O'CONNOR ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100240944,2010-08-17 08:08:00,"TRIM RD at DAIRY DR, Ottawa, ON, Canada",TRIM RD,DAIRY DR,OLD MONTREAL RD,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100236800,2010-08-13 11:18:00,"MURRAY ST at DALHOUSIE ST, Ottawa, ON, Canada",MURRAY ST,DALHOUSIE ST,PARENT AVE,Other,Clear,Daylight,No control,Non-fatal injury,2,1,0
100236579,2010-08-13 06:55:00,"BOYCE AVE at END, Ottawa, ON, Canada",BOYCE AVE,END,WALTER ST,Sideswipe,Clear,Daylight,No control,Fatal Injury,2,1,0
100236054,2010-08-12 17:28:00,"WAVERLEY ST at CARTIER ST, Ottawa, ON, Canada",WAVERLEY ST,CARTIER ST,ELGIN ST,Turning Movement,Clear,Daylight,No control,Non-fatal injury,2,1,0
100235976,2010-08-12 16:20:00,"EAGLESON RD at KAKULU RD, Ottawa, ON, Canada",EAGLESON RD,KAKULU RD,SHATNER GT,Angle,Clear,Daylight,No control,Non-fatal injury,2,1,0
100235101,2010-08-11 19:39:00,"ALBERT ST at BANK ST, Ottawa, ON, Canada",ALBERT ST,BANK ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100234941,2010-08-11 17:10:00,"HILLSIDE DR at MONTREAL RD, Ottawa, ON, Canada",46 E OF HILLSIDE DR,MONTREAL RD,,Angle,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100234796,2010-08-11 13:45:00,"BANK ST at GLOUCESTER ST, Ottawa, ON, Canada",BANK ST,GLOUCESTER ST,,Rear End,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100233113,2010-08-10 08:10:00,"ADELINE ST at PRESTON ST, Ottawa, ON, Canada",ADELINE ST,PRESTON ST,,Turning Movement,Clear,Daylight,Stop Sign,Non-fatal injury,2,1,0
