Time,Address,Injury level,Age,Sex,Safety equipment,Primary event,Severity
2011-09-22 16:09:00,"4 AV SE & 42 ST SE, Calgary, AB, Canada",MAJOR INJURY,9,M,Helmet,"Sideswipe, opposite direction",Injury
2011-09-19 08:18:00,"MEREDITH RD NE & 4 ST NE, Calgary, AB, Canada",MINOR INJURY,20,M,Helmet,Right angle,Injury
2011-09-16 16:30:00,"14 AV SE & 40 ST SE, Calgary, AB, Canada",MINOR INJURY,31,M,Helmet,Right angle,Injury
2011-09-16 11:26:00,"JAMES MCKEVITT RD SW & MILLRISE WY SW, Calgary, AB, Canada",NO INJURY,0,M,No helmet,Right angle,Injury
2011-09-16 11:26:00,"JAMES MCKEVITT RD SW & MILLRISE WY SW, Calgary, AB, Canada",MINOR INJURY,2,M,No helmet,Right angle,Injury
2011-09-15 16:50:00,"1A ST SW & 58 AV SW, Calgary, AB, Canada",MINOR INJURY,0,M,No helmet,Struck object,Injury
2011-09-15 10:30:00,"PALLISER DR SW & 24 ST SW, Calgary, AB, Canada",MAJOR INJURY,24,M,Helmet,Right angle,Injury
2011-09-12 21:00:00,"UNIVERSITY DR NW & 24 AV NW, Calgary, AB, Canada",MINOR INJURY,39,M,No helmet,Struck object,Injury
2011-09-12 08:20:00,"JOHN LAURIE BV NW & RANCHERO DR NW, Calgary, AB, Canada",MINOR INJURY,14,M,No helmet,Right angle,Injury
2011-09-10 13:20:00,"32 AV NW & 50 ST NW, Calgary, AB, Canada",NO INJURY,13,M,Helmet,Right angle,Property damage
2011-09-09 08:30:00,"SHAGANAPPI TR NW & VARSITY DR NW, Calgary, AB, Canada",NO INJURY,42,M,No helmet,,Property damage
2011-09-08 15:48:00,"MEMORIAL DR E & 28 ST NE, Calgary, AB, Canada",MINOR INJURY,45,M,Helmet,Right angle,Injury
2011-09-08 08:40:00,"On CHARLESWOOD DR NW between CHEROKEE DR NW &, Calgary, AB, Canada",NO INJURY,16,F,No helmet,Right angle,Property damage
2011-09-07 18:30:00,"17 AV SW & 5 ST SW, Calgary, AB, Canada",MINOR INJURY,31,M,No helmet,Left turn across path,Injury
2011-09-05 14:30:00,"349 SUNMILLS DR SE, Calgary, AB, Canada",NO INJURY,14,M,No helmet,Struck object,Property damage
2011-09-03 19:29:00,"155 TARALAKE WY NE, Calgary, AB, Canada",MINOR INJURY,1,M,No helmet,Struck object,Injury
2011-09-01 17:30:00,"4 AV NE & 52 ST NE, Calgary, AB, Canada",MINOR INJURY,15,M,Helmet,Left turn across path,Injury
2011-08-31 15:50:00,"2025 16 AV NW, Calgary, AB, Canada",NO INJURY,41,M,Helmet,Right angle,Property damage
2011-08-31 09:00:00,"815 17 AV SW, Calgary, AB, Canada",NO INJURY,24,M,,Struck object,Property damage
2011-08-30 18:45:00,"BOWNESS RD NW & 66 ST NW, Calgary, AB, Canada",MINOR INJURY,16,M,Helmet,Right angle,Injury
2011-08-30 15:00:00,"SUNCREST WY SE & SUNMILLS DR SE, Calgary, AB, Canada",NO INJURY,17,F,Helmet,Right angle,Property damage
2011-08-30 05:43:00,"CANTERBURY DR SW & ELBOW DR SW, Calgary, AB, Canada",MINOR INJURY,20,F,Helmet,Right angle,Injury
2011-08-29 18:17:00,"CORAL SHORES BA NE & CORAL SHORES DR NE, Calgary, AB, Canada",MAJOR INJURY,16,M,Helmet,Struck object,Injury
2011-08-29 13:40:00,"5251 COUNTRY HILLS BV NW, Calgary, AB, Canada",NO INJURY,13,M,No helmet,Struck object,Property damage
2011-08-28 08:35:00,"9311 MACLEOD TR S, Calgary, AB, Canada",NO INJURY,15,M,Helmet,Right angle,Property damage
2011-08-26 08:10:00,"PARKDALE BV NW & 27 ST NW, Calgary, AB, Canada",MINOR INJURY,34,F,No helmet,Struck object,Injury
2011-08-24 16:35:00,"5 AV SE & 52 ST SE, Calgary, AB, Canada",MAJOR INJURY,14,M,Helmet,Struck object,Injury
2011-08-23 08:15:00,"CORAL SPRINGS BV NE & 68 ST NE, Calgary, AB, Canada",MINOR INJURY,11,F,No helmet,Struck object,Injury
2011-08-22 21:00:00,"629 10 AV SW, Calgary, AB, Canada",MINOR INJURY,52,M,Helmet,Struck object,Injury
2011-08-20 12:17:00,"200 MEMORIAL DR NE, Calgary, AB, Canada",MINOR INJURY,63,F,No helmet,"Sideswipe, same direction",Injury
2011-08-16,"5 AV SE & 52 ST SE, Calgary, AB, Canada",NO INJURY,28,M,Helmet,Right angle,Property damage
2011-08-16 18:40:00,"1 ST SW & 14 AV SW, Calgary, AB, Canada",MINOR INJURY,36,M,Helmet,Left turn across path,Injury
2011-08-13 17:00:00,"1421 4 ST NW, Calgary, AB, Canada",MINOR INJURY,58,M,No helmet,Struck object,Injury
2011-08-10 23:25:00,"FAIRMOUNT DR SE & 90 AV SE, Calgary, AB, Canada",NO INJURY,49,M,No helmet,Left turn across path,Property damage
2011-08-10 15:30:00,"900 BLOCK OF 32 ST NW, Calgary, AB, Canada",MINOR INJURY,41,M,Helmet,Head on,Injury
2011-08-10 05:40:00,"51 ST SE & 61 AV SE, Calgary, AB, Canada",NO INJURY,39,M,No helmet,"Sideswipe, same direction",Property damage
2011-08-09 17:29:00,"BOW TR SW & 37 ST SW, Calgary, AB, Canada",MINOR INJURY,22,M,Helmet,Right angle,Injury
2011-08-08 15:00:00,"14 AV SW & 8 ST SW, Calgary, AB, Canada",NO INJURY,32,M,Helmet,Struck object,Property damage
2011-08-06 19:30:00,"MCKENZIE DR SE & MCKENZIE LAKE WY SE, Calgary, AB, Canada",MINOR INJURY,22,M,Helmet,Right angle,Injury
2011-08-04 11:40:00,"EDMONTON TR NE & 16 AV NE, Calgary, AB, Canada",NO INJURY,14,M,Helmet,Passing-right turn,Property damage
2011-08-04 08:00:00,"2 AV SW & 2 ST SW, Calgary, AB, Canada",NO INJURY,28,M,Helmet,Left turn across path,Property damage
2011-08-03 17:05:00,"BRISEBOIS DR NW & NORTHLAND DR NW, Calgary, AB, Canada",NO INJURY,32,M,Helmet,Struck object,Property damage
2011-08-03 16:30:00,"SUN HARBOUR RD SE & SUNMILLS DR SE, Calgary, AB, Canada",MINOR INJURY,16,M,No helmet,Right angle,Injury
2011-08-02 07:45:00,"17 AV SE & 68 ST SE, Calgary, AB, Canada",NO INJURY,0,,,Right angle,Property damage
2011-08-01 16:20:00,"6603 TEMPLE DR NE, Calgary, AB, Canada",MINOR INJURY,10,M,No helmet,Right angle,Injury
2011-08-01 15:00:00,"MONSERRAT DR NW, Calgary, AB, Canada",MINOR INJURY,49,F,No helmet,Right angle,Injury
2011-07-30 15:30:00,"13 ST SE & 9 AV SE, Calgary, AB, Canada",MINOR INJURY,52,M,,Struck object,Injury
2011-07-29 22:04:00,"CENTRE ST N & 20 AV NE, Calgary, AB, Canada",MAJOR INJURY,19,M,Helmet,Left turn across path,Injury
2011-07-29 19:25:00,"12 AV SW & 2 ST SW, Calgary, AB, Canada",MINOR INJURY,23,M,No helmet,"Sideswipe, same direction",Injury
2011-07-29 14:45:00,"CROWCHILD TR NW & TWELVE MI COULEE RD NW, Calgary, AB, Canada",MINOR INJURY,51,F,No helmet,,Injury
2011-07-28 20:25:00,"FONDA CL SE & FONDA DR SE, Calgary, AB, Canada",MINOR INJURY,9,M,,Struck object,Injury
2011-07-28 20:15:00,"7108 5 ST NW, Calgary, AB, Canada",MAJOR INJURY,29,M,No helmet,Struck object,Injury
2011-07-28 19:30:00,"SHERIFF KING RD SW & SILVERADO BV SW, Calgary, AB, Canada",MINOR INJURY,63,F,,Right angle,Injury
2011-07-26 09:00:00,"700 8 ST SW, Calgary, AB, Canada",MINOR INJURY,19,F,Helmet,Struck object,Injury
2011-07-25 06:54:00,"COVENTRY DR NE & COVENTRY HILLS WY NE, Calgary, AB, Canada",MAJOR INJURY,15,M,Helmet,"Sideswipe, opposite direction",Injury
2011-07-24 14:18:00,"10 ST NW & 5 AV NW, Calgary, AB, Canada",MINOR INJURY,61,M,Helmet,Struck object,Injury
2011-07-24 13:06:00,"BRIDLEWOOD RD SW & JAMES MCKEVITT RD SW, Calgary, AB, Canada",MAJOR INJURY,42,M,,Struck object,Injury
2011-07-24 11:20:00,"14 ST NW & 6 AV NW, Calgary, AB, Canada",NO INJURY,28,F,Helmet,Rear end,Property damage
2011-07-21 16:40:00,"14 AV NW & 14 ST NW, Calgary, AB, Canada",DEATH,29,M,Helmet,Struck object,Fatal
2011-07-21 16:00:00,"4 ST SW at 5 AV SW, Calgary, AB, Canada",NO INJURY,30,F,No helmet,"Sideswipe, same direction",Property damage
2011-07-20 14:05:00,"BONAVENTURE DR SE & WILLOW PARK DR SE, Calgary, AB, Canada",MINOR INJURY,29,F,No helmet,Right angle,Injury
2011-07-20 09:10:00,"3630 BRENTWOOD RD NW, Calgary, AB, Canada",MINOR INJURY,64,F,,Struck object,Injury
2011-07-18 07:50:00,"MACLEOD TR S & 36 AV SW, Calgary, AB, Canada",MINOR INJURY,32,M,Helmet,Right angle,Injury
2011-07-17 16:45:00,"4500 14A ST SW, Calgary, AB, Canada",MINOR INJURY,27,M,,"Sideswipe, same direction",Injury
2011-07-16 10:20:00,"20A TUSSLEWOOD DR NW, Calgary, AB, Canada",MINOR INJURY,60,M,No helmet,Struck object,Injury
2011-07-15 11:00:00,"CANTERBURY DR SW & ELBOW DR SW, Calgary, AB, Canada",NO INJURY,16,M,,Struck object,Property damage
2011-07-13 13:00:00,"SCENIC ACRES BV NW & SCENIC HILL CL NW, Calgary, AB, Canada",NO INJURY,24,M,Helmet,Right angle,Property damage
2011-07-12 16:50:00,"10 AV SW & 8 ST SW, Calgary, AB, Canada",MINOR INJURY,31,M,Helmet,Struck object,Injury
2011-07-12 15:30:00,"6 AV SW & 6 ST SW, Calgary, AB, Canada",NO INJURY,21,M,No helmet,Passing-left turn,Property damage
2011-07-12 15:00:00,"MACLEOD TR S & 25 AV SW, Calgary, AB, Canada",NO INJURY,56,F,No helmet,Right angle,Property damage
2011-07-09 18:00:00,"GLENMORE TR SE & 18 ST SE, Calgary, AB, Canada",MINOR INJURY,14,M,Helmet,Struck object,Injury
2011-07-08 18:30:00,"RANCHVIEW DR NW & RANCHVIEW RD NW, Calgary, AB, Canada",NO INJURY,0,F,Helmet,Struck object,Property damage
2011-07-08 17:37:00,"BRIDLERIDGE WY SW & 162 AV SW, Calgary, AB, Canada",NO INJURY,9,M,No helmet,Right angle,Property damage
2011-07-08 08:54:00,"1 ST NW & 12 AV NW, Calgary, AB, Canada",MINOR INJURY,15,M,No helmet,Struck object,Injury
2011-07-07 18:40:00,"MACLEOD TR S & SUN VALLEY BV SW, Calgary, AB, Canada",NO INJURY,82,M,Helmet,Struck object,Property damage
2011-07-07 13:30:00,"10640 MACLEOD TR S, Calgary, AB, Canada",MINOR INJURY,13,M,No helmet,Right angle,Injury
2011-07-07 12:45:00,"EDMONTON TR NE & 16 AV NE, Calgary, AB, Canada",NO INJURY,14,M,Helmet,Struck object,Property damage
2011-07-06 23:45:00,"BOW TR SW & 37 ST SW, Calgary, AB, Canada",MINOR INJURY,52,M,Helmet,Right angle,Injury
2011-07-06 19:15:00,"501 40 AV NW, Calgary, AB, Canada",NO INJURY,16,M,,Left turn across path,Property damage
2011-07-05 19:30:00,"3508 32 AV NE, Calgary, AB, Canada",MAJOR INJURY,45,M,Helmet,Right angle,Injury
2011-07-05 14:45:00,"MACLEOD TR S & 46 AV SW, Calgary, AB, Canada",NO INJURY,24,F,Helmet,Struck object,Property damage
2011-07-05 10:20:00,"15 AV SW & 8 ST SW, Calgary, AB, Canada",MINOR INJURY,24,F,,Left turn across path,Injury
2011-07-04 08:00:00,"11 ST SE & 18 AV SE, Calgary, AB, Canada",NO INJURY,24,F,No helmet,Right angle,Property damage
2011-07-04 06:50:00,"BONNYBROOK RD SE & 34 AV SE, Calgary, AB, Canada",MINOR INJURY,39,M,No helmet,"Sideswipe, same direction",Injury
2011-07-02 18:57:00,"20 ABERGALE CL NE, Calgary, AB, Canada",MINOR INJURY,6,M,Helmet,"Sideswipe, same direction",Injury
2011-06-29 14:05:00,"SPILLER RD SE & 21 AV SE, Calgary, AB, Canada",MINOR INJURY,9,F,Helmet,,Injury
2011-06-29 13:55:00,"43 AV NE & 68 ST NE, Calgary, AB, Canada",MAJOR INJURY,11,M,Helmet,Struck object,Injury
2011-06-28 17:00:00,"31 AV NW & 4 ST NW, Calgary, AB, Canada",MINOR INJURY,49,M,,Right angle,Injury
2011-06-28 13:40:00,"CENTRE ST N & 12 AV NE, Calgary, AB, Canada",MINOR INJURY,39,M,Helmet,Struck object,Injury
2011-06-27 18:40:00,"MCKNIGHT BV NE & 68 ST NE, Calgary, AB, Canada",MINOR INJURY,63,,Helmet,Struck object,Injury
2011-06-26 20:30:00,"CENTRE ST N & 31 AV NE, Calgary, AB, Canada",MAJOR INJURY,63,M,Helmet,Struck object,Injury
2011-06-25 16:00:00,"17 AV SW & 29 ST SW, Calgary, AB, Canada",NO INJURY,81,M,,Struck object,Property damage
2011-06-22 19:37:00,"265 SANDSTONE DR NW, Calgary, AB, Canada",MINOR INJURY,57,F,Helmet,Struck object,Injury
2011-06-21 14:35:00,"10 ST NW & 4 AV NW, Calgary, AB, Canada",MINOR INJURY,26,M,,Left turn across path,Injury
2011-06-21 11:04:00,"MARLBOROUGH DR NE & 36 ST NE, Calgary, AB, Canada",MAJOR INJURY,39,M,Helmet,Struck object,Injury
2011-06-20,"133 9 AV SW, Calgary, AB, Canada",NO INJURY,33,M,Helmet,Struck object,Property damage
2011-06-20 11:50:00,"BRIDLERIDGE HT SW & BRIDLERIDGE WY SW, Calgary, AB, Canada",MINOR INJURY,12,F,No helmet,"Sideswipe, opposite direction",Property damage
2011-06-19 16:45:00,"17 AV SE & 36 ST SE, Calgary, AB, Canada",NO INJURY,35,M,No helmet,Passing-right turn,Property damage
2011-06-19 14:30:00,"8901 NOSEHILL DR NW, Calgary, AB, Canada",NO INJURY,0,M,No helmet,Struck object,Property damage
2011-06-18 17:00:00,"24 AV NW & 5 ST NW, Calgary, AB, Canada",MAJOR INJURY,28,F,,Struck object,Injury
2011-06-17 16:48:00,"11 MCKENZIE TOWNE AV SE, Calgary, AB, Canada",MAJOR INJURY,13,M,No helmet,Right angle,Injury
2011-06-15 16:30:00,"4320 15 ST SW, Calgary, AB, Canada",NO INJURY,17,M,Helmet,Rear end,Property damage
2011-06-14 16:24:00,"25 AV SE & 3 ST SE, Calgary, AB, Canada",MINOR INJURY,25,F,No helmet,"Sideswipe, same direction",Injury
2011-06-12 20:50:00,"TEMPLE DR NE & 55 ST NE, Calgary, AB, Canada",MINOR INJURY,51,M,Helmet,Struck object,Injury
2011-06-11 14:32:00,"6455 MACLEOD TR S, Calgary, AB, Canada",MINOR INJURY,38,M,No helmet,Struck object,Injury
2011-06-11 08:30:00,"COVENTRY HILLS WY NE & COVEPARK DR NE, Calgary, AB, Canada",MINOR INJURY,43,F,No helmet,Right angle,Injury
2011-06-10 16:30:00,"4313 4 AV SE, Calgary, AB, Canada",NO INJURY,11,M,Helmet,Struck object,Property damage
2011-06-10 15:30:00,"WHITEFIELD DR NE & WHITEFIELD PL NE, Calgary, AB, Canada",MINOR INJURY,9,M,Helmet,Right angle,Injury
2011-06-10 08:00:00,"MEMORIAL DR W & 6 ST NW, Calgary, AB, Canada",NO INJURY,48,M,No helmet,Rear end,Property damage
2011-06-09 14:55:00,"BANNISTER RD SE & 149 AV SE, Calgary, AB, Canada",MINOR INJURY,36,M,Helmet,Right angle,Injury
2011-06-09 08:55:00,"37 ST SW & 46 AV SW, Calgary, AB, Canada",NO INJURY,34,M,,Struck object,Property damage
2011-06-09 06:45:00,"4 ST SW & 8 AV SW, Calgary, AB, Canada",MINOR INJURY,27,F,Helmet,Struck object,Injury
2011-06-08 21:00:00,"BRAESIDE DR SW & SOUTHLAND DR SW, Calgary, AB, Canada",MINOR INJURY,18,F,Helmet,Right angle,Injury
2011-06-08 20:45:00,"MACLEOD TR S & 4 AV SW, Calgary, AB, Canada",NO INJURY,29,M,Helmet,Right angle,Property damage
2011-06-08 14:15:00,"COACH HILL PZ SW, Calgary, AB, Canada",NO INJURY,25,M,,Struck object,Property damage
2011-06-08 10:00:00,"12 AV SW & 7 ST SW, Calgary, AB, Canada",MINOR INJURY,31,F,No helmet,Passing-right turn,Injury
2011-06-07 15:45:00,"FAIRMOUNT DR SE & 96 AV SE, Calgary, AB, Canada",MINOR INJURY,13,M,Helmet,Struck object,Injury
2011-06-06 19:20:00,"3603 CEDARILLE DR SW, Calgary, AB, Canada",NO INJURY,44,M,Helmet,Struck object,Property damage
2011-06-06 17:30:00,"RADCLIFFE DR SE & 28 ST SE, Calgary, AB, Canada",MAJOR INJURY,21,M,Helmet,Struck object,Injury
2011-06-06 17:00:00,"8 AV SW & 8 ST SW, Calgary, AB, Canada",NO INJURY,33,M,No helmet,Rear end,Property damage
2011-06-06 12:40:00,"14 ST SW & 34 AV SW, Calgary, AB, Canada",NO INJURY,51,F,No helmet,Struck object,Property damage
2011-06-05 21:00:00,"CITADEL DR NW & CITADEL GA NW, Calgary, AB, Canada",MINOR INJURY,27,F,No helmet,Struck object,Injury
2011-06-02 17:45:00,"ELBOW DR SW & 54 AV SW, Calgary, AB, Canada",NO INJURY,0,M,Helmet,Right angle,Property damage
2011-06-02 16:05:00,"CENTRE ST S & 9 AV SE, Calgary, AB, Canada",NO INJURY,38,M,,"Sideswipe, same direction",Property damage
2011-06-02 15:30:00,"4040 BLACKFOOT TR SE, Calgary, AB, Canada",MINOR INJURY,43,M,No helmet,Right angle,Injury
2011-06-01 10:50:00,"1 ST SW & 9 AV SW, Calgary, AB, Canada",MINOR INJURY,31,F,No helmet,Passing-left turn,Injury
2011-06-01 06:37:00,"1 ST NW & 16 AV NW, Calgary, AB, Canada",NO INJURY,37,F,No helmet,Struck object,Property damage
2011-05-30 20:47:00,"EDMONTON TR NE & 19 AV NE, Calgary, AB, Canada",MINOR INJURY,54,M,Helmet,Struck object,Injury
2011-05-30 16:30:00,"MACLEOD TR SW & 58 AV SW, Calgary, AB, Canada",MAJOR INJURY,42,M,Helmet,Right angle,Injury
2011-05-29 16:15:00,"BEDDINGTON BV NW & BERWICK WY NW, Calgary, AB, Canada",NO INJURY,54,M,No helmet,Struck object,Property damage
2011-05-28 17:10:00,"4708 44 AV NE, Calgary, AB, Canada",MINOR INJURY,7,M,Helmet,Struck object,Injury
2011-05-22 20:55:00,"14 ST SW & 15 AV SW, Calgary, AB, Canada",MINOR INJURY,59,M,Helmet,Struck object,Injury
2011-05-21 10:30:00,"CENTRE ST N & 54 AV NE, Calgary, AB, Canada",MAJOR INJURY,53,M,Helmet,Struck object,Injury
2011-05-18 07:45:00,"530 4 AV SE, Calgary, AB, Canada",MINOR INJURY,67,F,No helmet,Struck object,Injury
2011-05-16 16:40:00,"10 AV SW & 5 ST SW, Calgary, AB, Canada",NO INJURY,35,M,No helmet,"Sideswipe, same direction",Property damage
2011-05-16 13:00:00,"UNKNOWN, Calgary, AB, Canada",NO INJURY,46,M,No helmet,Struck object,Property damage
2011-05-11 15:28:00,"BOWNESS RD NW & HOME RD NW, Calgary, AB, Canada",MAJOR INJURY,45,M,No helmet,Struck object,Injury
2011-05-11 14:36:00,"17 AV SW at 8 ST SW, Calgary, AB, Canada",NO INJURY,34,M,No helmet,Struck object,Property damage
2011-05-07,"23 ST NE & 32 AV NE, Calgary, AB, Canada",NO INJURY,29,F,No helmet,"Sideswipe, same direction",Property damage
2011-05-04 19:30:00,"3803 4 AV SW, Calgary, AB, Canada",NO INJURY,0,M,,Struck object,Property damage
2011-05-04 18:15:00,"1414 MEMORIAL DR W, Calgary, AB, Canada",NO INJURY,29,M,No helmet,Right angle,Property damage
2011-05-04 15:30:00,"4 ST NW & 64 AV NW, Calgary, AB, Canada",MINOR INJURY,13,M,No helmet,Right angle,Injury
2011-05-03 21:37:00,"11 ST SW & 9 AV SW, Calgary, AB, Canada",MINOR INJURY,21,F,,Struck object,Injury
2011-05-03 18:30:00,"162 PRESTWICK CI SE, Calgary, AB, Canada",MAJOR INJURY,7,F,No helmet,Struck object,Injury
2011-05-02 16:50:00,"MACLEOD TR S & 27 AV SW, Calgary, AB, Canada",MINOR INJURY,48,M,Helmet,Right angle,Injury
