Time,Year,Age,Gender,Injury,Road condition,Weather condition,Street 2,Community,Street 1,Address,Charge section,Charge subsection,Charge
22-Apr-07 11:35:00 AM,2007,,Male,Not injured,"Normal, good",Clear,TOWNSEND STREET,SYDNEY,SHERIFF AVENUE,"SHERIFF AVENUE at TOWNSEND STREET, SYDNEY, NS, Canada",,,
30-Apr-07 5:20:00 PM,2007,33,Male,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",LANGBRAE,HALIFAX,PARKLAND DRIVE,"PARKLAND DRIVE at LANGBRAE, HALIFAX, NS, Canada",,,
9-May-07 11:13:00 AM,2007,20,Female,Moderate - treated & released,"Normal, good",Clear,WILLIAMS LAKE ROAD,HALIFAX,HERRING COVE ROAD,"HERRING COVE ROAD at WILLIAMS LAKE ROAD, HALIFAX, NS, Canada",,,
2-May-07 7:15:00 PM,2007,23,Female,Minor - no treatment,"Normal, good",Clear,WINDMILL ROAD,DARTMOUTH,SUNNYDALE AVENUE,"SUNNYDALE AVENUE at WINDMILL ROAD, DARTMOUTH, NS, Canada",,,
16-May-07 12:00:00 AM,2007,13,Male,Moderate - treated & released,"Potholes, bumps",Raining,CURLEY DRIVE,DARTMOUTH,HARRIS STREET,"HARRIS STREET at CURLEY DRIVE, DARTMOUTH, NS, Canada",,,
14-May-07 10:30:00 AM,2007,30,Male,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",,HALIFAX,ROBIE STREET,"ROBIE STREET at , HALIFAX, NS, Canada",,,
14-May-07 12:00:00 AM,2007,39,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,MUMFORD ROAD,"MUMFORD ROAD at , HALIFAX, NS, Canada",,,
27-May-07 1:48:00 PM,2007,16,Female,Minor - no treatment,"Normal, good",Clear,FLAMINGO DRIVE,HALIFAX,BEDFORD HIGHWAY,"BEDFORD HIGHWAY at FLAMINGO DRIVE, HALIFAX, NS, Canada",,,
4-May-07 6:50:00 PM,2007,34,Male,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",,AMHERST,SOUTH ALBION STREET,"SOUTH ALBION STREET at , AMHERST, NS, Canada",,,
17-May-07 2:54:00 PM,2007,13,Male,Minor - no treatment,"Normal, good",Clear,DONALD AVENUE,AMHERST,DICKEY STREET,"DICKEY STREET at DONALD AVENUE, AMHERST, NS, Canada",,,
30-May-07 7:09:00 PM,2007,,,,"Normal, good",Clear,,AMHERST,HAVELOCK STREET,"HAVELOCK STREET at , AMHERST, NS, Canada",,,
17-Jun-07 4:34:00 PM,2007,20,Male,Not injured,"Normal, good",Clear,UNIVERSITY AVENUE,HALIFAX,ROBIE STREET,"ROBIE STREET at UNIVERSITY AVENUE, HALIFAX, NS, Canada",,,
18-Jun-07 6:57:00 AM,2007,24,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",EDWARD STREET,HALIFAX,COBURG ROAD,"COBURG ROAD at EDWARD STREET, HALIFAX, NS, Canada",,,
7-Jun-07 12:15:00 PM,2007,57,Male,Minor - no treatment,"Normal, good",Clear,,NEW MINAS,COMMERCIAL STREET,"COMMERCIAL STREET at , NEW MINAS, NS, Canada",,,
25-Jun-07 10:38:00 AM,2007,48,Male,Moderate - treated & released,"Normal, good",Clear,,BEN EOIN,HIGHWAY 4,"HIGHWAY 4 at , BEN EOIN, NS, Canada",,,
22-Jun-07 12:00:00 AM,2007,44,Female,Not Applicable,Not Applicable,Clear,ROCKY LAKE DRIVE,BEDFORD,DUKE STREET,"DUKE STREET at ROCKY LAKE DRIVE, BEDFORD, NS, Canada",,,
13-Jun-07 6:00:00 PM,2007,,,,"Potholes, bumps","Fog, mist, smog",,MUSQUODOBOIT HARBOUR,PARK ROAD,"PARK ROAD at , MUSQUODOBOIT HARBOUR, NS, Canada",,,
30-Jun-07 4:27:00 AM,2007,45,Male,Major - hospitalized,"Normal, good",Clear,,MILLER LAKE,HIGHWAY#102,"HIGHWAY#102 at , MILLER LAKE, NS, Canada",,,
13-Jun-07 5:29:00 PM,2007,15,Male,Moderate - treated & released,"Normal, good",Clear,ARTHUR ST.,TRURO,"DOMINION ST.,","DOMINION ST., at ARTHUR ST., TRURO, NS, Canada",,,
1-Jul-07 9:15:00 AM,2007,46,Male,Not injured,"Normal, good",Clear,,DARTMOUTH,WAVERLEY ROAD,"WAVERLEY ROAD at , DARTMOUTH, NS, Canada",,,
8-Jul-07 12:45:00 AM,2007,12,Female,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,MAITLAND ST.,"MAITLAND ST. at , HALIFAX, NS, Canada",,,
28-Jul-07 4:58:00 PM,2007,22,Male,Not injured,"Normal, good","Overcast, cloudy but no precipitation",SHIRLEY ST.,DARTMOUTH,PLEASANT ST.,"PLEASANT ST. at SHIRLEY ST., DARTMOUTH, NS, Canada",,,
23-Jul-07 1:56:00 PM,2007,19,Male,Moderate - treated & released,"Normal, good",Clear,MARKET ST.,ANTIGONISH,HIGHWAY#104,"HIGHWAY#104 at MARKET ST., ANTIGONISH, NS, Canada",,,
13-Jul-07 11:45:00 AM,2007,19,Female,Moderate - treated & released,"Normal, good",Clear,CHARLES ST.,HALIFAX,WINDSOR ST.,"WINDSOR ST. at CHARLES ST., HALIFAX, NS, Canada",,,
14-Jul-07 12:40:00 AM,2007,40,Male,Minor - no treatment,"Normal, good",Clear,,HALIFAX,HERRING COVE ROAD,"HERRING COVE ROAD at , HALIFAX, NS, Canada",,,
15-Jul-07 8:54:00 PM,2007,35,Female,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",,HALIFAX,HUNTER ST.,"HUNTER ST. at , HALIFAX, NS, Canada",,,
18-Jul-07 9:38:00 AM,2007,32,Male,Not injured,"Normal, good",Clear,,HALIFAX,BAYERS ROAD,"BAYERS ROAD at , HALIFAX, NS, Canada",,,
26-Aug-07 10:14:00 AM,2007,42,Female,Major - hospitalized,"Normal, good","Fog, mist, smog",,GOODWOOD,HIGHWAY# 333,"HIGHWAY# 333 at , GOODWOOD, NS, Canada",,,
15-Aug-07 6:44:00 PM,2007,22,Female,Moderate - treated & released,"Potholes, bumps",Raining,,GASPEREAU,WHITE ROCK RD.,"WHITE ROCK RD. at , GASPEREAU, NS, Canada",,,
28-Jul-07 10:30:00 AM,2007,16,Male,Moderate - treated & released,"Normal, good",Clear,,HUBLEY,SILVER BIRCH DR.,"SILVER BIRCH DR. at , HUBLEY, NS, Canada",,,
23-Jul-07 7:00:00 AM,2007,22,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,BEDFORD HWY,"BEDFORD HWY at , HALIFAX, NS, Canada",,,
23-Jul-07 8:24:00 AM,2007,21,Female,Moderate - treated & released,"Normal, good",Clear,,SPRYFIELD,HERRING COVE ROAD,"HERRING COVE ROAD at , SPRYFIELD, NS, Canada",,,
17-Jul-07 12:00:00 AM,2007,10,Male,Minor - no treatment,"Normal, good",Clear,CATHERINE STREET,GLACE BAY,COMMERCIAL STREET,"COMMERCIAL STREET at CATHERINE STREET, GLACE BAY, NS, Canada",,,
11-Oct-07 9:00:00 AM,2007,19,Male,Fatal,"Normal, good",Clear,,HALIFAX,BARRINGTON STREET,"BARRINGTON STREET at , HALIFAX, NS, Canada",,,
26-Jul-07 12:32:00 PM,2007,11,Male,Moderate - treated & released,"Normal, good",Clear,NORTH ROAD,MOSER RIVER,HIGHWAY 7,"HIGHWAY 7 at NORTH ROAD, MOSER RIVER, NS, Canada",,,
17-Jul-07 1:00:00 PM,2007,33,Male,Not injured,"Normal, good",Clear,,SYDNEY,GEORGE STREET,"GEORGE STREET at , SYDNEY, NS, Canada",,,
15-Jul-07 3:45:00 PM,2007,48,Male,Not injured,"Normal, good",Clear,,TRURO,SOBEYS PARKING LOT,"SOBEYS PARKING LOT at , TRURO, NS, Canada",,,
5-Jul-07 4:53:00 AM,2007,,Male,Moderate - treated & released,"Normal, good",Clear,,HUBLEY,SILVER BIRCH DRIVE,"SILVER BIRCH DRIVE at , HUBLEY, NS, Canada",,,
1-Aug-07 5:00:00 PM,2007,25,Female,Minor - no treatment,"Normal, good",Clear,,DARTMOUTH,PORTLAND ST.,"PORTLAND ST. at , DARTMOUTH, NS, Canada",,,
6-Aug-07 11:35:00 AM,2007,47,Female,Major - hospitalized,"Normal, good",Clear,DUBLIN STREET,HALIFAX,ALMON STREET,"ALMON STREET at DUBLIN STREET, HALIFAX, NS, Canada",,,
15-Aug-07 11:55:00 AM,2007,13,Male,Moderate - treated & released,"Normal, good",Clear,MUNROE AVENUE,NEW GLASGOW,STELLARTON ROAD,"STELLARTON ROAD at MUNROE AVENUE, NEW GLASGOW, NS, Canada",,,
16-Aug-07 8:30:00 AM,2007,34,Male,Not injured,"Normal, good",Clear,,BEDFORD,BEDFORD HIGHWAY,"BEDFORD HIGHWAY at , BEDFORD, NS, Canada",,,
16-Aug-07 7:51:00 AM,2007,36,Male,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",NORTH STREET,HALIFAX,BARRINGTON STREET,"BARRINGTON STREET at NORTH STREET, HALIFAX, NS, Canada",,,
27-Aug-07 7:50:00 AM,2007,31,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,KEMPT ROAD,"KEMPT ROAD at , HALIFAX, NS, Canada",,,
3-Aug-07 4:45:00 PM,2007,11,Male,Minor - no treatment,"Normal, good",Clear,DOMINION STREET,TRURO,ARTHUR STREET,"ARTHUR STREET at DOMINION STREET, TRURO, NS, Canada",,,
6-Sep-07 7:45:00 AM,2007,34,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,MAIN AVENUE,"MAIN AVENUE at , HALIFAX, NS, Canada",,,
1-Sep-07 6:51:00 PM,2007,9,Female,Minor - no treatment,"Normal, good",Clear,WILLIAMS LAKE ROAD,HALIFAX,HERRING COVE ROAD,"HERRING COVE ROAD at WILLIAMS LAKE ROAD, HALIFAX, NS, Canada",,,
1-Sep-07 6:51:00 PM,2007,40,Female,Minor - no treatment,"Normal, good",Clear,WILLIAMS LAKE ROAD,HALIFAX,HERRING COVE ROAD,"HERRING COVE ROAD at WILLIAMS LAKE ROAD, HALIFAX, NS, Canada",,,
1-Sep-07 5:10:00 PM,2007,50,Male,Major - hospitalized,"Normal, good",Clear,,SOUTH ALTON,NORTH RIVER ROAD,"NORTH RIVER ROAD at , SOUTH ALTON, NS, Canada",,,
6-Sep-07 12:09:00 PM,2007,45,Male,Minor - no treatment,"Normal, good",Clear,,DARTMOUTH,ILSLEY AVENUE,"ILSLEY AVENUE at , DARTMOUTH, NS, Canada",,,
9-Sep-07 4:15:00 PM,2007,15,Male,Not injured,"Normal, good","Overcast, cloudy but no precipitation",,DARTMOUTH,PRINCESS MARGARET BLVD,"PRINCESS MARGARET BLVD at , DARTMOUTH, NS, Canada",,,
3-Sep-07 12:45:00 PM,2007,62,Male,Moderate - treated & released,"Normal, good",Clear,NORTH STREET,HALIFAX,BARRINGTON STREET,"BARRINGTON STREET at NORTH STREET, HALIFAX, NS, Canada",,,
4-Sep-07 3:00:00 PM,2007,27,Male,Minor - no treatment,"Normal, good",Clear,,HALIFAX,FARNHAM GATE ROAD,"FARNHAM GATE ROAD at , HALIFAX, NS, Canada",,,
12-Sep-07 7:50:00 PM,2007,59,Male,Not injured,"Normal, good",Clear,,HALIFAX,BEDFORD HIGHWAY,"BEDFORD HIGHWAY at , HALIFAX, NS, Canada",,,
12-Sep-07 3:15:00 PM,2007,48,Male,Not injured,"Normal, good",Clear,WOODLAWN ROAD,DARTMOUTH,KELLY DRIVE,"KELLY DRIVE at WOODLAWN ROAD, DARTMOUTH, NS, Canada",,,
13-Sep-07 7:34:00 PM,2007,,,,"Normal, good","Overcast, cloudy but no precipitation",,HALIFAX,QUINPOOL ROAD,"QUINPOOL ROAD at , HALIFAX, NS, Canada",,,
14-Aug-07 11:36:00 PM,2007,53,Male,Moderate - treated & released,"Normal, good",Clear,ESPLANDE STREET,TRURO,YOUNG STREET,"YOUNG STREET at ESPLANDE STREET, TRURO, NS, Canada",,,
30-Aug-07 5:24:00 PM,2007,22,Female,Minor - no treatment,"Normal, good",Clear,PRINCE STREET,HALIFAX,BARRINGTON STREET,"BARRINGTON STREET at PRINCE STREET, HALIFAX, NS, Canada",,,
20-Sep-07 7:30:00 AM,2007,64,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,TOWER ROAD,"TOWER ROAD at , HALIFAX, NS, Canada",,,
27-Sep-07 4:15:00 PM,2007,,,,"Normal, good",Clear,,DARTMOUTH,PRINCE ALBERT STREET,"PRINCE ALBERT STREET at , DARTMOUTH, NS, Canada",,,
18-Sep-07 4:45:00 PM,2007,45,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,QUINPOOL RD,"QUINPOOL RD at , HALIFAX, NS, Canada",,,
24-Sep-07 7:09:00 AM,2007,44,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,BEDFORD HIGHWAY,"BEDFORD HIGHWAY at , HALIFAX, NS, Canada",,,
24-Sep-07 9:30:00 AM,2007,61,Male,Minor - no treatment,Not Applicable,Not Applicable,,HALIFAX,WEST STREET,"WEST STREET at , HALIFAX, NS, Canada",,,
13-Sep-07 4:45:00 PM,2007,7,Male,Moderate - treated & released,"Normal, good",Clear,GRANVILLE RD.,BRIDGETOWN,COURT ST.,"COURT ST. at GRANVILLE RD., BRIDGETOWN, NS, Canada",,,
14-Oct-07 12:20:00 AM,2007,30,Female,Moderate - treated & released,"Normal, good",Clear,NORTH PARK STREET,HALIFAX,AHERN ST,"AHERN ST at NORTH PARK STREET, HALIFAX, NS, Canada",,,
14-Oct-07 4:42:00 PM,2007,56,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,ROBIE STREET,"ROBIE STREET at , HALIFAX, NS, Canada",,,
2-Oct-07 3:30:00 PM,2007,25,Male,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",HALIFAX SHOPPING CENTRE,HALIFAX,BAYERS ROAD,"BAYERS ROAD at HALIFAX SHOPPING CENTRE, HALIFAX, NS, Canada",,,
6-Oct-07 5:00:00 PM,2007,17,Male,Major - hospitalized,"Normal, good",Clear,OCTERLONEY ST.,DARTMOUTH,ALDERNEY DR,"ALDERNEY DR at OCTERLONEY ST., DARTMOUTH, NS, Canada",,,
18-Oct-07 5:55:00 AM,2007,27,Female,Moderate - treated & released,"Normal, good",Clear,,DARTMOUTH,WYSE ROAD,"WYSE ROAD at , DARTMOUTH, NS, Canada",,,
23-Oct-07 7:35:00 AM,2007,,,,"Normal, good",Clear,,HALIFAX,MUMFORD ROAD,"MUMFORD ROAD at , HALIFAX, NS, Canada",,,
23-Oct-07 7:00:00 AM,2007,14,Male,Moderate - treated & released,"Normal, good",Clear,,AYLESFORD,AYLESFORD ROAD,"AYLESFORD ROAD at , AYLESFORD, NS, Canada",,,
30-Oct-07 7:01:00 AM,2007,37,Male,Minor - no treatment,"Normal, good",Clear,,BEECHVILLE,HIGHWAY#3,"HIGHWAY#3 at , BEECHVILLE, NS, Canada",,,
16-Oct-07 12:00:00 AM,2007,22,Male,Minor - no treatment,"Normal, good",Clear,BROOK STREET,BRIDGEWATER,JUBILEE ROAD,"JUBILEE ROAD at BROOK STREET, BRIDGEWATER, NS, Canada",,,
22-Oct-07 11:00:00 PM,2007,26,Male,Not injured,"Normal, good",Clear,CUNARD STREET,HALIFAX,WINDSOR STREET,"WINDSOR STREET at CUNARD STREET, HALIFAX, NS, Canada",,,
29-Oct-07 4:07:00 PM,2007,,,,"Normal, good",Clear,,BRIDGEWATER,KING STREET,"KING STREET at , BRIDGEWATER, NS, Canada",,,
26-Oct-07 7:20:00 PM,2007,38,,Not Applicable,"Normal, good",Clear,NORTH PARK STREET,HALIFAX,,,,,
6-Nov-07 3:55:00 PM,2007,11,Male,Minor - no treatment,"Normal, good",Clear,,PORT WILLIAMS,BELCHER STREET,,,,
30-Jul-08 9:36:00 AM,2008,25,Male,Minor - no treatment,"Normal, good",Clear,ROSEDALE AVENUE,HALIFAX,DUTCH VILLAGE ROAD,,,,
21-Nov-07 2:30:00 PM,2007,22,Male,Minor - no treatment,"Potholes, bumps",Clear,EARNSCLIFFE AVE.,WOLFVILLE,MAIN ST.,,,,
3-Dec-07 4:21:00 PM,2007,13,Male,Major - hospitalized,"Normal, good",Snowing,,BROOKSIDE,BROOKSIDE ROAD,,,,
3-Dec-07 10:07:00 AM,2007,40,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",KEMPT ROAD,HALIFAX,YOUNG STREET,,,,
23-Dec-07 5:40:00 PM,2007,50,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",,NEW WATERFORD,KING ST.,,,,
24-Dec-07 11:00:00 AM,2007,,,,"Normal, good",Clear,,BEDFORD,ROYAL MASTS WAY,,,,
19-Feb-08 1:43:00 PM,2008,34,Female,Moderate - treated & released,"Normal, good",Clear,CUNARD ST,HALIFAX,ROBIE ST,,,,
18-Oct-08 12:00:00 PM,2008,24,Male,Moderate - treated & released,"Normal, good",Clear,KLINE STREET,HALIFAX,QUINPOOL ROAD,,,,
20-Feb-08 8:57:00 PM,2008,54,Male,Minor - no treatment,"Normal, good",Clear,,DARTMOUTH,VICTORIA ROAD,,,,
19-Mar-08 8:11:00 PM,2008,22,Male,Unknown,"Normal, good",Clear,SPRING GARDEN ROAD,HALIFAX,SOUTH PARK STREET,,171,2,171(2)
19-Mar-08 8:11:00 PM,2008,22,Male,Unknown,"Normal, good",Clear,SPRING GARDEN ROAD,HALIFAX,SOUTH PARK STREET,,174,6,174(6)
7-Apr-08 5:22:00 PM,2008,16,Male,Moderate - treated & released,"Normal, good",Clear,,FALL RIVER,HIGHWAY 2,,,,
11-Apr-08 4:12:00 PM,2008,12,Female,Not injured,"Normal, good",Clear,SUPERSTORE PK LOT,HALIFAX,3601 JOSEPH HOWE DRIVE,,,,
9-May-08 7:35:00 AM,2008,56,Male,Minor - no treatment,"Normal, good",Clear,VERNON STREET,HALIFAX,JUBILEE ROAD,,,,
12-May-08 10:00:00 AM,2008,51,Male,Moderate - treated & released,"Normal, good",Clear,,SYDNEY,TOWNSEND STREET,,,,
15-May-08 9:16:00 PM,2008,28,Male,Not injured,"Normal, good",Clear,WILLETT STREET,HALIFAX,LACEWOOD DRIVE,,,,
19-Apr-08 10:10:00 AM,2008,7,Male,Moderate - treated & released,"Normal, good",Clear,FOURTH STREET,GLACE BAY,CENTER AVENUE,,,,
25-Apr-08 5:28:00 PM,2008,20,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",HAMMONDS PLAINS ROAD,BEDFORD,BEDFORD HIGHWAY,,,,
26-Apr-08 9:10:00 AM,2008,74,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",,HALIFAX,UNIVERSITY AVE,,,,
21-Jun-08 11:00:00 AM,2008,48,Female,Moderate - treated & released,"Normal, good","Overcast, cloudy but no precipitation",FLAMINGO DRIVE,HALIFAX,BEDFORD HIGHWAY,,,,
5-Jun-08 7:30:00 PM,2008,28,Female,Moderate - treated & released,"Normal, good",Clear,ST MARGARETS BAY ROAD,HALIFAX,ARMDALE ROTARY,,,,
6-Jun-08 6:37:00 PM,2008,13,Male,Moderate - treated & released,"Normal, good",Clear,BELLE VISTA DRIVE,DARTMOUTH,SPRING AVENUE,,,,
13-Jun-08 9:54:00 AM,2008,20,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,BEDFORD HIGHWAY,,,,
13-Jun-08 11:00:00 AM,2008,28,Female,Not Applicable,"Normal, good",Clear,,HALIFAX,UNIVERSITY AVENUE,,,,
14-Jun-08 12:46:00 PM,2008,22,Male,Major - hospitalized,"Normal, good","Overcast, cloudy but no precipitation",,KENTVILLE,BELCHER STREET,,171,2,171(2)
26-Jun-08 6:00:00 PM,2008,,Male,Unknown,"Normal, good",Clear,COLBY DRIVE,COLE HARBOUR,CUMBERLAND DRIVE,,,,
1-May-08 8:47:00 AM,2008,,,,"Normal, good","Overcast, cloudy but no precipitation",HIGHWAY 14,WINDSOR,HIGHWAY 1,,,,
4-May-08 9:17:00 AM,2008,17,Male,Moderate - treated & released,"Normal, good",Clear,ADAM STREET,TRURO,BURNYEAT STREET,,,,
8-May-08 5:50:00 PM,2008,9,Male,Moderate - treated & released,"Normal, good",Raining,MICMAC STREET,HALIFAX,ST. ANDREWS STREET,,,,
16-May-08 3:14:00 PM,2008,20,Male,Minor - no treatment,"Normal, good",Clear,EXIT#1C,SACKVILLE,HIGHWAY#101,,,,
27-May-08 4:07:00 PM,2008,16,Male,Moderate - treated & released,"Normal, good",Clear,WILSON LAKE DRIVE,LOWER SACKVILLE,SACKVILLE DRIVE,,,,
28-May-08 4:45:00 PM,2008,41,Male,Not injured,"Normal, good",Clear,,DARTMOUTH,MAIN STREET,,,,
29-May-08 11:55:00 AM,2008,63,Male,Moderate - treated & released,"Normal, good",Clear,CORNWALLIS STREET,HALIFAX,NORTH PARK STREET,,,,
31-May-08 8:56:00 PM,2008,23,Male,Moderate - treated & released,"Normal, good",Clear,ROBIE STREET,HALIFAX,CUNARD STREET,,,,
3-Jun-08 8:10:00 AM,2008,16,Male,Not Applicable,"Normal, good",Clear,SACKVILLE CROSS ROAD,LOWER SACKVILLE,OLD SACKVILLE ROAD,,,,
4-Jun-08 5:03:00 PM,2008,9,Male,Moderate - treated & released,"Normal, good",Clear,WESTERN AVENUE,NEW GLASGOW,CAMPBELL'S  LANE,,,,
12-Jun-08 6:52:00 AM,2008,46,Female,Minor - no treatment,"Normal, good",Clear,,HALIFAX,OXFORD ST,,,,
12-Jun-08 5:30:00 PM,2008,54,Male,Moderate - treated & released,"Normal, good",Clear,EAST RIVER ROAD,PLYMOUTH,HIGHWAY 348,,,,
13-Jun-08 5:15:00 PM,2008,47,Male,Moderate - treated & released,"Normal, good",Clear,,BRAMBER,HIGHWAY 215,,,,
16-Jun-08 4:41:00 PM,2008,12,Male,Minor - no treatment,"Normal, good",Clear,,BRIDGEWATER,KING ST,,,,
26-Jun-08 2:20:00 PM,2008,52,Male,Minor - no treatment,"Normal, good",Clear,CARMICHEAL STREET,HALIFAX,BRUNSWICK STREET,,,,
2-Jul-08 9:30:00 AM,2008,38,Male,Not injured,"Normal, good","Overcast, cloudy but no precipitation",CUNARD STREET,HALIFAX,ROBIE STREET,,,,
3-Jul-08 7:03:00 PM,2008,,Female,Moderate - treated & released,"Normal, good",Clear,EXIT RAMP #7,PRIME BROOK,ALEXANDRIA STREET,,,,
4-Jul-08 2:50:00 PM,2008,12,Male,Moderate - treated & released,"Normal, good",Clear,,YARMOUTH,STARRS ROAD,,,,
7-Jul-08 10:40:00 PM,2008,,Unknown,Unknown,"Normal, good",Clear,,HALIFAX,CONNAUGHT AVENUE,,,,
2-Jul-08 1:30:00 PM,2008,22,Female,Moderate - treated & released,"Normal, good",Clear,CHEBUCTO ROAD,HALIFAX,ARMDALE ROTARY,,,,
11-Jul-08 7:41:00 AM,2008,37,Female,Minor - no treatment,"Normal, good",Clear,BOLAND ROAD,DARTMOUTH,WYSE ROAD,,,,
12-Jul-08 2:45:00 PM,2008,52,Male,Moderate - treated & released,"Normal, good",Clear,SINCLAIR STREET,DARTMOUTH,LORNE AVENUE,,,,
16-Jul-08 11:53:00 AM,2008,16,Male,Not injured,"Normal, good",Clear,CLUB ROAD,HATCHET LAKE,PROSPECT ROAD,,,,
19-Jul-08 1:15:00 PM,2008,19,Male,Major - hospitalized,"Normal, good",Clear,,DARTMOUTH,CRANBERRY CRESCENT,,,,
26-Jul-08 7:30:00 AM,2008,,Male,Moderate - treated & released,"Normal, good",Raining,WELTON STREET,SYDNEY,VICTORIA ROAD,,,,
31-Jul-08 12:30:00 PM,2008,9,Male,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,BEDFORD HIGHWAY,,,,
8-Jul-08 8:52:00 AM,2008,40,Male,Minor - no treatment,"Normal, good",Clear,MARKET STREET,HALIFAX,SACKVILLE STREET,,,,
